district,school_name,project_#,description,fy_constr_start,total
78M,ARTHUR SCHOMBURG HS (IS 201) - Manhattan,DSF0000776008,Educational Enhancements - Educational Enhancements - Room,2014,382567
78M,ARTHUR SCHOMBURG HS (IS 201) - Manhattan,DSF0000776009,Educational Enhancements - Educational Enhancements - Room,2014,1052459
78M,FORSYTH HS (AUXSVC-OLD 91) - Manhattan,DSF0000407933,State of Good Repair - Building Upgrade - Flood Elimination,2010,2744158
78M,MURRY BERGTRAUM HS (ECF) - Manhattan,DSF0000775975,Educational Enhancements - Educational Enhancements - School Improvement and,2014,730000
78M,MURRY BERGTRAUM HS (ECF) - Manhattan,DSF0000776029,Educational Enhancements - Educational Enhancements - Room,2014,343020
78M,MURRY BERGTRAUM HS (ECF) - Manhattan,DSF0000787245,State of Good Repair - System Replacements - Toilets-Students,2014,26546
78M,MURRY BERGTRAUM HS (ECF) - Manhattan,DSF0000799489,Educational Enhancements - Educational Enhancements - Room,2014,442306
78M,PARK WEST HS (ECF) - Manhattan,DSF0000687155,Educational Enhancements - Educational Enhancements - School Improvement and,2013,19451942
78M,PARK WEST HS (ECF) - Manhattan,DSF0000710960,Safety and Security - Safety and Security - Code Compliance,2013,6452706
78M,PARK WEST HS (ECF) - Manhattan,DSF0000731151,Educational Enhancements - Educational Enhancements - School Improvement and,2012,1877903
78M,PARK WEST HS (ECF) - Manhattan,DSF0000741699,State of Good Repair - System Replacements - Heating Plant Upgrade,2013,2352130
78M,PARK WEST HS (ECF) - Manhattan,DSF0000753034,State of Good Repair - Building Upgrade - Climate Control,2013,2995789
78M,PARK WEST HS (ECF) - Manhattan,DSF0000753035,State of Good Repair - Building Upgrade - Air Conditioning Retrofit,2013,8107885
78M,FASHION INDUSTRIES VOC HS - Manhattan,DSF0000408007,State of Good Repair - Building Upgrade - Climate Control,2010,3574564
78M,FASHION INDUSTRIES VOC HS - Manhattan,DSF0000720511,State of Good Repair - System Replacements - Windows,2013,7767389
78M,FASHION INDUSTRIES VOC HS - Manhattan,DSF0000755246,Educational Enhancements - Educational Enhancements - School Improvement and,2014,2824504
78M,NORMAN THOMAS HS (ECF) - Manhattan,DSF0000675621,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2010,1822482
78M,NORMAN THOMAS HS (ECF) - Manhattan,DSF0000731200,Educational Enhancements - Educational Enhancements - Room,2012,915985
78M,HS OF GRAPHIC COMMUNICATION ARTS - Manhattan,DSF0000609980,State of Good Repair - System Replacements - Windows,2010,10960843
78M,HS OF GRAPHIC COMMUNICATION ARTS - Manhattan,DSF0000609981,State of Good Repair - System Replacements - Exterior Masonry,2010,4509821
78M,HS OF GRAPHIC COMMUNICATION ARTS - Manhattan,DSF0000687085,State of Good Repair - System Replacements - Roofs,2010,300084
78M,HS OF GRAPHIC COMMUNICATION ARTS - Manhattan,DSF0000688265,Educational Enhancements - Educational Enhancements - Room,2010,717658
78M,HS OF GRAPHIC COMMUNICATION ARTS - Manhattan,DSF0000709437,Educational Enhancements - Educational Enhancements - Room,2011,635003
78M,HS OF GRAPHIC COMMUNICATION ARTS - Manhattan,DSF0000731013,Educational Enhancements - Educational Enhancements - Room,2012,1179679
78M,HS OF GRAPHIC COMMUNICATION ARTS - Manhattan,DSF0000752391,Educational Enhancements - Educational Enhancements - School Improvement and,2013,1133309
78M,HS OF GRAPHIC COMMUNICATION ARTS - Manhattan,DSF0000775846,Educational Enhancements - Educational Enhancements - Room,2013,621863
78M,HS OF GRAPHIC COMMUNICATION ARTS - Manhattan,DSF0000775930,Educational Enhancements - Educational Enhancements - Room,2014,568459
78M,HS OF GRAPHIC COMMUNICATION ARTS - Manhattan,DSF0000777271,Educational Enhancements - Educational Enhancements - School Improvement and,2014,2188501
78M,HS OF GRAPHIC COMMUNICATION ARTS - Manhattan,DSF0000798168,Educational Enhancements - Educational Enhancements - School Improvement and,2014,91666
78M,CITY AS SCHOOL (OLD 95) - Manhattan,DSF0000610019,State of Good Repair - Building Upgrade - Reinforcing Cinder Concrete Slabs,2013,696978
78M,CITY AS SCHOOL (OLD 95) - Manhattan,DSF0000610028,State of Good Repair - System Replacements - Floors,2013,1707236
78M,CITY AS SCHOOL (OLD 95) - Manhattan,DSF0000741840,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2013,778348
78M,CITY AS SCHOOL (OLD 95) - Manhattan,DSF0000752401,State of Good Repair - System Replacements - Electrical Systems,2013,597051
78M,CITY AS SCHOOL (OLD 95) - Manhattan,DSF0000777504,Safety and Security - Safety and Security - Emergency Lighting and Fire Safety Retrofits,2014,101308
78M,OLD MANHATTAN VOC/TECH HS - Manhattan,DSF0000675704,State of Good Repair - Building Upgrade - Flood Elimination,2011,3495453
78M,OLD MANHATTAN VOC/TECH HS - Manhattan,DSF0000675705,State of Good Repair - System Replacements - Parapets,2011,2483255
78M,OLD MANHATTAN VOC/TECH HS - Manhattan,DSF0000675706,State of Good Repair - System Replacements - Exterior Masonry,2011,4230293
78M,OLD MANHATTAN VOC/TECH HS - Manhattan,DSF0000709490,State of Good Repair - System Replacements - Roofs,2011,1315753
78M,SCL COOP TECH ED (MNH VOC HS) - Manhattan,DSF0000675719,State of Good Repair - System Replacements - Roofs,2011,2084741
78M,SCL COOP TECH ED (MNH VOC HS) - Manhattan,DSF0000675720,State of Good Repair - System Replacements - Parapets,2011,989510
78M,SCL COOP TECH ED (MNH VOC HS) - Manhattan,DSF0000675721,State of Good Repair - System Replacements - Windows,2011,3434206
78M,SCL COOP TECH ED (MNH VOC HS) - Manhattan,DSF0000675722,State of Good Repair - System Replacements - Exterior Masonry,2011,1987652
78M,HS FOR ECONOMICS & FINANCE - Manhattan,DSF0000675835,State of Good Repair - System Replacements - Auditorium Upgrade,2010,181494
78M,GREGORIO LUPERON PREP. SCHOOL - Manhattan,DSF0000775932,State of Good Repair - System Replacements - Paved Area-Concrete,2013,37182
78M,LEGACY HS FOR INTEGR. STUDIES - Manhattan,DSF0000709491,Educational Enhancements - Educational Enhancements - Room,2011,475670
78M,HARLEM RENAISSANCE HS (OLD M24) - Manhattan,DSF0000610443,State of Good Repair - System Replacements - Auditorium Upgrade,2010,620148
07,P.S. 1 - Bronx,DSF0000616726,State of Good Repair - Rehabilitation of Physical Education Facilities - Playground,2010,584009
07,P.S. 5 - Bronx,DSF0000682187,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2010,905895
07,P.S. 5 - Bronx,DSF0000775800,State of Good Repair - System Replacements - Kitchen Areas,2013,25000
07,P.S. 18 - Bronx,DSF0000616985,State of Good Repair - System Replacements - Paved Area-Blacktop,2010,438320
07,P.S. 18 - Bronx,DSF0000710246,State of Good Repair - Building Upgrade - Boiler Conversion,2012,4550682
07,P.S. 18 - Bronx,DSF0000710255,State of Good Repair - Building Upgrade - Climate Control,2012,687847
07,P.S. 25 - Bronx,DSF0000731332,State of Good Repair - System Replacements - Gymnasium Upgrade,2012,363741
07,P.S. 277 - Bronx,DSF0000622459,State of Good Repair - System Replacements - Roofs,2011,2113920
07,P.S. 277 - Bronx,DSF0000622460,State of Good Repair - System Replacements - Exterior Masonry,2011,16527038
07,P.S. 277 - Bronx,DSF0000705643,State of Good Repair - System Replacements - Parapets,2011,523303
07,P.S. 277 - Bronx,DSF0000705655,State of Good Repair - System Replacements - Heating Plant Upgrade,2011,608943
07,P.S. 277 - Bronx,DSF0000710032,State of Good Repair - System Replacements - Windows,2011,3151639
07,P.S. 277 - Bronx,DSF0000727057,State of Good Repair - System Replacements - Floors,2013,598051
07,P.S. 277 - Bronx,DSF0000748402,State of Good Repair - System Replacements - Auditorium Upgrade,2013,1093081
07,P.S. 220 - Bronx,DSF0000705800,State of Good Repair - System Replacements - Heating Plant Upgrade,2011,52032
07,P.S. 220 - Bronx,DSF0000727220,State of Good Repair - Building Upgrade - Climate Control,2012,1510256
07,P.S. 220 - Bronx,DSF0000731103,State of Good Repair - Building Upgrade - Boiler Conversion,2012,3866014
07,P.S. 43 - Bronx,DSF0000682767,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2010,1138764
07,P.S. 43 - Bronx,DSF0000727289,State of Good Repair - System Replacements - Toilets-Students,2013,1362083
07,P.S. 43 - Bronx,DSF0000748616,State of Good Repair - Building Upgrade - Flood Elimination,2014,1636802
07,P.S. 43 - Bronx,DSF0000752898,State of Good Repair - System Replacements - Electrical Systems,2013,1058376
07,P.S. 49 - Bronx,DSF0000748733,State of Good Repair - System Replacements - Parapets,2013,1108147
07,P.S. 65 - Bronx,DSF0000749020,State of Good Repair - System Replacements - Cafeteria / Multipurpose Room Upgrade,2013,1436617
07,P.S. 65 - Bronx,DSF0000771964,State of Good Repair - Building Upgrade - Reinforcing Cinder Concrete Slabs,2014,1490866
07,P.S. 65 - Bronx,DSF0000775515,Educational Enhancements - Educational Enhancements - School Improvement and,2013,52000
07,P.S. 65 - Bronx,DSF0000775653,State of Good Repair - System Replacements - Domestic Piping,2014,901465
07,P.S. 65 - Bronx,DSF0000775980,Educational Enhancements - Educational Enhancements - School Improvement and,2013,108533
07,J.H.S. 222 - Bronx,DSF0000684629,State of Good Repair - Building Upgrade - Flood Elimination,2011,343342
07,J.H.S. 222 - Bronx,DSF0000684632,State of Good Repair - System Replacements - Parapets,2011,614999
07,J.H.S. 222 - Bronx,DSF0000684633,State of Good Repair - System Replacements - Windows,2011,10057492
07,J.H.S. 222 - Bronx,DSF0000684634,State of Good Repair - System Replacements - Exterior Masonry,2011,3641785
07,J.H.S. 222 - Bronx,DSF0000709489,State of Good Repair - System Replacements - Roofs,2011,2563617
07,J.H.S. 222 - Bronx,DSF0000754299,State of Good Repair - Building Upgrade - Boiler Conversion,2013,932426
07,J.H.S. 149 - Bronx,DSF0000753094,Educational Enhancements - Educational Enhancements - Room,2013,255934
07,J.H.S. 149 - Bronx,DSF0000773478,State of Good Repair - System Replacements - Heating Plant Upgrade,2014,66410
07,I.S. 151 - Bronx,DSF0000684885,State of Good Repair - Building Upgrade - Reinforcing Support Elements,2011,2038701
07,I.S. 151 - Bronx,DSF0000684886,State of Good Repair - System Replacements - Windows,2011,2708932
07,I.S. 151 - Bronx,DSF0000684887,State of Good Repair - System Replacements - Exterior Masonry,2011,1075376
07,I.S. 151 - Bronx,DSF0000710109,State of Good Repair - Building Upgrade - Flood Elimination,2011,5191211
07,I.S. 151 - Bronx,DSF0000773512,State of Good Repair - Building Upgrade - Elevators and Escalators,2013,204965
07,P.S. 154 - Bronx,DSF0000684951,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2010,631931
07,P.S. 154 - Bronx,DSF0000750629,State of Good Repair - System Replacements - Domestic Piping,2014,970115
07,P.S. 156 - Bronx,DSF0000415826,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2010,535577
07,P.S. 156 - Bronx,DSF0000687331,Safety and Security - Safety and Security - Code Compliance,2010,2779971
07,P.S. 156 - Bronx,DSF0000707904,Waste System,2011,210765
07,P.S. 156 - Bronx,DSF0000710110,State of Good Repair - Building Upgrade - Reinforcing Support Elements,2011,1695741
07,P.S. 156 - Bronx,DSF0000710111,State of Good Repair - Building Upgrade - Flood Elimination,2011,4353902
07,P.S. 156 - Bronx,DSF0000732430,State of Good Repair - Rehabilitation of Physical Education Facilities - Playground,2011,528692
07,P.S. 156 - Bronx,DSF0000750681,State of Good Repair - System Replacements - Auditorium Upgrade,2013,896219
07,P.S. 156 - Bronx,DSF0000773622,State of Good Repair - Building Upgrade - Elevators and Escalators,2013,208561
07,P.S. 157 - Bronx,DSF0000710244,State of Good Repair - Building Upgrade - Boiler Conversion,2012,3911606
07,P.S. 157 - Bronx,DSF0000752857,State of Good Repair - Rehabilitation of Physical Education Facilities - Playground,2012,70550
07,P.S. 161 - Bronx,DSF0000750757,State of Good Repair - System Replacements - Windows,2014,3079065
07,P.S. 161 - Bronx,DSF0000750758,State of Good Repair - System Replacements - Exterior Masonry,2014,5935358
07,P.S. 161 - Bronx,DSF0000773703,State of Good Repair - System Replacements - Roofs,2014,1433035
07,P.S. 161 - Bronx,DSF0000773704,State of Good Repair - System Replacements - Parapets,2014,1612543
07,P.S. 161 - Bronx,DSF0000796426,State of Good Repair - System Replacements - Heating Plant Upgrade,2014,42861
07,I.S. 162 - Bronx,DSF0000731404,Educational Enhancements - Educational Enhancements - Room,2012,431462
07,J.H.S. 203 - Bronx,DSF0000710263,State of Good Repair - Building Upgrade - Boiler Conversion,2012,2471551
07,J.H.S. 203 - Bronx,DSF0000710267,State of Good Repair - Building Upgrade - Climate Control,2012,1695242
07,J.H.S. 203 - Bronx,DSF0000750997,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2013,1750453
07,J.H.S. 203 - Bronx,DSF0000754248,Educational Enhancements - Educational Enhancements - School Improvement and,2013,1586845
07,J.H.S. 203 - Bronx,DSF0000773942,State of Good Repair - Building Upgrade - Elevators and Escalators,2013,226541
07,J.H.S. 203 - Bronx,DSF0000775516,Educational Enhancements - Educational Enhancements - School Improvement and,2013,251441
07,J.H.S. 203 - Bronx,DSF0000775517,Educational Enhancements - Educational Enhancements - School Improvement and,2013,258400
07,J.H.S. 203 - Bronx,DSF0000775990,State of Good Repair - Building Upgrade - Air Conditioning Retrofit,2014,212328
07,J.H.S. 203 - Bronx,DSF0000798169,Educational Enhancements - Educational Enhancements - School Improvement and,2014,73368
07,I.S. 184 - Bronx,DSF0000619971,State of Good Repair - System Replacements - Paved Area-Blacktop,2011,957504
07,I.S. 184 - Bronx,DSF0000685371,State of Good Repair - System Replacements - Roofs,2010,3595206
07,I.S. 184 - Bronx,DSF0000710264,State of Good Repair - Building Upgrade - Boiler Conversion,2012,3902223
07,I.S. 184 - Bronx,DSF0000710268,State of Good Repair - Building Upgrade - Climate Control,2012,2016691
08,P.S. 14 - Bronx,DSF0000752892,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2014,996866
08,P.S. 36 - Bronx,DSF0000617303,State of Good Repair - System Replacements - Auditorium Upgrade,2010,801338
08,P.S. 36 - Bronx,DSF0000622427,State of Good Repair - Rehabilitation of Physical Education Facilities - Playground,2011,483839
08,P.S. 36 - Bronx,DSF0000682687,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2010,1092001
08,P.S. 48 - Bronx,DSF0000705952,State of Good Repair - System Replacements - Paved Area-Concrete,2012,977609
08,I.S. 302 - Bronx,DSF0000414223,State of Good Repair - Building Upgrade - Climate Control,2011,1291177
08,I.S. 302 - Bronx,DSF0000682936,State of Good Repair - Building Upgrade - Flood Elimination,2010,1552042
08,I.S. 302 - Bronx,DSF0000682938,State of Good Repair - System Replacements - Roofs,2010,2306114
08,I.S. 302 - Bronx,DSF0000682939,State of Good Repair - System Replacements - Parapets,2010,2115784
08,I.S. 302 - Bronx,DSF0000682940,State of Good Repair - System Replacements - Exterior Masonry,2010,2184697
08,I.S. 302 - Bronx,DSF0000682947,State of Good Repair - System Replacements - Paved Area-Blacktop,2010,2106182
08,I.S. 302 - Bronx,DSF0000682956,Safety and Security - Safety and Security - Safety Systems,2010,209405
08,I.S. 302 - Bronx,DSF0000727434,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2014,1374436
08,I.S. 302 - Bronx,DSF0000748787,State of Good Repair - System Replacements - Heating Plant Upgrade,2014,2197801
08,P.S. 333 - Bronx,DSF0000683080,State of Good Repair - Building Upgrade - Flood Elimination,2012,7893624
08,P.S. 333 - Bronx,DSF0000706143,State of Good Repair - System Replacements - Parapets,2012,3094639
08,P.S. 333 - Bronx,DSF0000706146,State of Good Repair - System Replacements - Heating Plant Upgrade,2011,30810
08,P.S. 333 - Bronx,DSF0000709433,State of Good Repair - System Replacements - Exterior Masonry,2012,4939705
08,P.S. 333 - Bronx,DSF0000727589,State of Good Repair - System Replacements - Floors,2012,1304749
08,P.S. 333 - Bronx,DSF0000731009,State of Good Repair - System Replacements - Roofs,2012,1393499
08,P.S. 333 - Bronx,DSF0000731010,State of Good Repair - System Replacements - Windows,2012,1198796
08,P.S. 69 - Bronx,DSF0000710065,State of Good Repair - System Replacements - Exterior Masonry,2014,5836199
08,P.S. 69 - Bronx,DSF0000749093,State of Good Repair - Building Upgrade - Flood Elimination,2014,788062
08,P.S. 69 - Bronx,DSF0000752826,State of Good Repair - System Replacements - Parapets,2014,1591132
08,P.S. 71 - Bronx,DSF0000727804,State of Good Repair - System Replacements - Electrical Systems,2012,850046
08,P.S. 72 - Bronx,DSF0000414530,State of Good Repair - System Replacements - Toilets-Students,2011,1257378
08,P.S. 72 - Bronx,DSF0000732428,State of Good Repair - Rehabilitation of Physical Education Facilities - Playground,2013,596268
08,I.S. 201 - Bronx,DSF0000706402,State of Good Repair - System Replacements - Heating Plant Upgrade,2011,37975
08,I.S. 201 - Bronx,DSF0000749192,State of Good Repair - System Replacements - Cafeteria / Multipurpose Room Upgrade,2013,880048
08,I.S. 201 - Bronx,DSF0000775959,State of Good Repair - Building Upgrade - Elevators and Escalators,2013,212157
08,P.S. 75 - Bronx,DSF0000710259,State of Good Repair - System Replacements - Roofs,2012,2750278
08,P.S. 75 - Bronx,DSF0000731127,State of Good Repair - System Replacements - Exterior Masonry,2012,1288244
08,I.S. 101 - Bronx,DSF0000683869,State of Good Repair - System Replacements - Fencing,2011,456127
08,P.S. 107 - Bronx,DSF0000754448,State of Good Repair - System Replacements - Domestic Piping,2013,40803
08,I.S. 301 - Bronx,DSF0000750043,State of Good Repair - System Replacements - Gymnasium Upgrade,2014,1971374
08,I.S. 123 - Bronx,DSF0000731137,State of Good Repair - System Replacements - Heating Plant Upgrade,2012,268120
08,I.S. 125 - Bronx,DSF0000684359,State of Good Repair - System Replacements - Paved Area-Concrete,2010,1624046
08,I.S. 125 - Bronx,DSF0000730943,Educational Enhancements - Educational Enhancements - Room,2011,477258
08,I.S. 125 - Bronx,DSF0000750103,State of Good Repair - System Replacements - Parapets,2013,2298757
08,I.S. 125 - Bronx,DSF0000750104,State of Good Repair - System Replacements - Exterior Masonry,2013,2165063
08,I.S. 125 - Bronx,DSF0000750113,State of Good Repair - System Replacements - Auditorium Upgrade,2013,229993
08,I.S. 125 - Bronx,DSF0000750114,State of Good Repair - System Replacements - Gymnasium Upgrade,2013,828329
08,I.S. 125 - Bronx,DSF0000750117,Safety and Security - Safety and Security - Safety Systems,2013,801765
08,I.S. 125 - Bronx,DSF0000775564,State of Good Repair - System Replacements - Roofs,2013,2826096
08,I.S. 125 - Bronx,DSF0000775793,Educational Enhancements - Educational Enhancements - Room,2014,450628
08,P.S. 130 - Bronx,DSF0000619047,State of Good Repair - System Replacements - Paved Area-Blacktop,2010,314896
08,I.S. 131 - Bronx,DSF0000684462,State of Good Repair - System Replacements - Roofs,2011,3741594
08,I.S. 131 - Bronx,DSF0000684463,State of Good Repair - System Replacements - Exterior Masonry,2011,2714556
08,I.S. 131 - Bronx,DSF0000684478,Safety and Security - Safety and Security - Safety Systems,2011,1096928
08,I.S. 131 - Bronx,DSF0000688366,State of Good Repair - Building Upgrade - Flood Elimination,2011,288389
08,P.S. 140 - Bronx,DSF0000731098,State of Good Repair - Building Upgrade - Boiler Conversion,2013,3626548
08,I.S. 174 - Bronx,DSF0000685214,State of Good Repair - Building Upgrade - Elevators and Escalators,2011,813769
08,I.S. 174 - Bronx,DSF0000729546,State of Good Repair - Building Upgrade - Reinforcing Support Elements,2013,864427
08,I.S. 174 - Bronx,DSF0000729549,State of Good Repair - System Replacements - Exterior Masonry,2012,166495
08,P.S. 182 - Bronx,DSF0000685325,State of Good Repair - System Replacements - Exterior Masonry,2011,1116886
08,P.S. 182 - Bronx,DSF0000688289,State of Good Repair - System Replacements - Windows,2011,3170036
08,I.S. 192 - Bronx,DSF0000688512,State of Good Repair - Building Upgrade - Flood Elimination,2010,255684
09,P.S. 4 - Bronx,DSF0000726689,State of Good Repair - System Replacements - Exterior Masonry,2013,7198047
09,P.S. 4 - Bronx,DSF0000748022,State of Good Repair - Building Upgrade - Flood Elimination,2013,377075
09,P.S. 4 - Bronx,DSF0000753061,State of Good Repair - System Replacements - Roofs,2013,1052103
09,P.S. 4 - Bronx,DSF0000775521,Educational Enhancements - Educational Enhancements - School Improvement and,2013,104000
09,P.S. 11 - Bronx,DSF0000682280,State of Good Repair - Building Upgrade - Flood Elimination,2011,980986
09,P.S. 11 - Bronx,DSF0000682282,State of Good Repair - System Replacements - Roofs,2011,1844106
09,P.S. 11 - Bronx,DSF0000682283,State of Good Repair - System Replacements - Parapets,2011,1439520
09,P.S. 11 - Bronx,DSF0000682284,State of Good Repair - System Replacements - Exterior Masonry,2011,3623170
09,I.S. 22 - Bronx,DSF0000705543,State of Good Repair - Building Upgrade - Flood Elimination,2011,698860
09,I.S. 22 - Bronx,DSF0000705545,State of Good Repair - System Replacements - Parapets,2011,2057307
09,I.S. 22 - Bronx,DSF0000705546,State of Good Repair - System Replacements - Exterior Masonry,2011,2640543
09,P.S. 28 - Bronx,DSF0000682569,State of Good Repair - System Replacements - Parapets,2010,701287
09,P.S. 28 - Bronx,DSF0000682570,State of Good Repair - System Replacements - Exterior Masonry,2010,3616717
09,P.S. 28 - Bronx,DSF0000688416,State of Good Repair - Building Upgrade - Flood Elimination,2010,2220398
09,P.S. 28 - Bronx,DSF0000777441,State of Good Repair - System Replacements - Heating Plant Upgrade,2014,32876
09,P.S. 42 - Bronx,DSF0000727264,State of Good Repair - System Replacements - Electrical Systems,2013,933031
09,P.S. 53 - Bronx,DSF0000727462,State of Good Repair - Building Upgrade - Reinforcing Support Elements,2014,1149566
09,P.S. 53 - Bronx,DSF0000727466,State of Good Repair - System Replacements - Electrical Systems,2013,1208100
09,P.S. 53 - Bronx,DSF0000748801,State of Good Repair - System Replacements - Auditorium Upgrade,2013,1439373
09,P.S. 53 - Bronx,DSF0000771731,State of Good Repair - Building Upgrade - Flood Elimination,2014,1148129
09,P.S. 55 - Bronx,DSF0000682991,State of Good Repair - System Replacements - Exterior Masonry,2011,1812430
09,P.S. 55 - Bronx,DSF0000710112,State of Good Repair - System Replacements - Parapets,2011,63944
09,P.S. 55 - Bronx,DSF0000727494,State of Good Repair - System Replacements - Electrical Systems,2012,1545556
09,P.S. 55 - Bronx,DSF0000748815,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2013,1040663
09,P.S. 55 - Bronx,DSF0000752828,State of Good Repair - System Replacements - Heating Plant Upgrade,2013,43478
09,P.S. 55 - Bronx,DSF0000754495,Educational Enhancements - Educational Enhancements - Room,2013,269723
09,P.S. 55 - Bronx,DSF0000775518,Educational Enhancements - Educational Enhancements - School Improvement and,2013,220144
09,P.S. 58 - Bronx,DSF0000683047,Roofs,2010,1809635
09,P.S. 58 - Bronx,DSF0000683049,Exterior Masonry,2010,4472192
09,P.S. 58 - Bronx,DSF0000771818,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2014,872281
09,P.S. 63 - Bronx,DSF0000617757,State of Good Repair - System Replacements - Electrical Systems,2010,292590
09,P.S. 63 - Bronx,DSF0000727656,State of Good Repair - System Replacements - Cafeteria / Multipurpose Room Upgrade,2012,782900
09,P.S. 64 - Bronx,DSF0000683163,State of Good Repair - System Replacements - Toilets-Students,2011,924667
09,P.S. 70 - Bronx,DSF0000683285,State of Good Repair - System Replacements - Domestic Piping,2010,3752882
09,P.S. 73 - Bronx,DSF0000749171,State of Good Repair - System Replacements - Auditorium Upgrade,2013,1310375
09,I.S. 232 - Bronx,DSF0000706546,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2011,783185
09,I.S. 232 - Bronx,DSF0000706551,State of Good Repair - System Replacements - Heating Plant Upgrade,2011,19350
09,I.S. 232 - Bronx,DSF0000772288,State of Good Repair - System Replacements - Heating Plant Upgrade,2014,80757
09,P.S. 88 - Bronx,DSF0000728130,State of Good Repair - System Replacements - Electrical Systems,2013,727374
09,P.S. 88 - Bronx,DSF0000749446,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2014,480282
09,P.S. 88 - Bronx,DSF0000749449,State of Good Repair - Building Upgrade - Flood Elimination,2013,218082
09,P.S. 90 - Bronx,DSF0000683684,State of Good Repair - System Replacements - Exterior Masonry,2011,2157628
09,P.S. 90 - Bronx,DSF0000706711,State of Good Repair - System Replacements - Paved Area-Concrete,2011,530338
09,P.S. 90 - Bronx,DSF0000749490,State of Good Repair - System Replacements - Heating Plant Upgrade,2012,44000
09,P.S. 90 - Bronx,DSF0000775649,State of Good Repair - System Replacements - Domestic Piping,2014,1000754
09,P.S. 199 - Bronx,DSF0000728397,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2012,1143840
09,P.S. 110 - Bronx,DSF0000753054,Educational Enhancements - Educational Enhancements - Room,2013,432337
09,P.S. 114 - Bronx,DSF0000772875,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2014,783543
09,I.S. 117 - Bronx,DSF0000728651,State of Good Repair - Building Upgrade - Flood Elimination,2013,638691
09,I.S. 117 - Bronx,DSF0000731130,State of Good Repair - System Replacements - Heating Plant Upgrade,2012,26756
09,I.S. 117 - Bronx,DSF0000749978,State of Good Repair - System Replacements - Roofs,2013,1087507
09,I.S. 117 - Bronx,DSF0000749981,State of Good Repair - System Replacements - Exterior Masonry,2013,1944445
09,I.S. 117 - Bronx,DSF0000749984,Educational Enhancements - Educational Enhancements - School Improvement and,2014,754473
09,I.S. 117 - Bronx,SCA0000019633,State of Good Repair - System Replacements - Parapets,2013,3731798
09,P.S. 126 (ECF) - Bronx,DSF0000684373,State of Good Repair - Building Upgrade - Flood Elimination,2011,101986
09,P.S. 126 (ECF) - Bronx,DSF0000684375,State of Good Repair - System Replacements - Roofs,2011,3919923
09,P.S. 126 (ECF) - Bronx,DSF0000684376,State of Good Repair - System Replacements - Parapets,2011,296860
09,P.S. 126 (ECF) - Bronx,DSF0000684377,State of Good Repair - System Replacements - Exterior Masonry,2011,1794422
09,P.S. 132 - Bronx,DSF0000622398,State of Good Repair - Building Upgrade - Reinforcing Cinder Concrete Slabs,2011,7972807
09,P.S. 132 - Bronx,DSF0000750220,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2013,1532825
09,I.S. 145 - Bronx,DSF0000729126,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2012,559584
09,I.S. 339 (OLD 147) - Bronx,DSF0000619396,State of Good Repair - System Replacements - Paved Area-Blacktop,2010,459012
09,I.S. 339 (OLD 147) - Bronx,DSF0000684803,State of Good Repair - System Replacements - Paved Area-Concrete,2010,266546
09,I.S. 339 (OLD 147) - Bronx,DSF0000690213,State of Good Repair - System Replacements - Exterior Masonry,2012,4138954
09,I.S. 339 (OLD 147) - Bronx,DSF0000707706,State of Good Repair - Building Upgrade - Climate Control,2012,1513339
09,I.S. 339 (OLD 147) - Bronx,DSF0000710262,State of Good Repair - Building Upgrade - Boiler Conversion,2012,2958480
09,I.S. 339 (OLD 147) - Bronx,DSF0000710274,Educational Enhancements - Educational Enhancements - Room,2011,843965
09,I.S. 339 (OLD 147) - Bronx,DSF0000731153,State of Good Repair - System Replacements - Parapets,2012,743324
09,I.S. 219 (OLD 148) - Bronx,DSF0000619423,State of Good Repair - System Replacements - Paved Area-Blacktop,2010,1246028
09,I.S. 219 (OLD 148) - Bronx,DSF0000684823,State of Good Repair - System Replacements - Windows,2014,4531047
09,I.S. 219 (OLD 148) - Bronx,DSF0000684832,State of Good Repair - System Replacements - Paved Area-Concrete,2012,896164
09,I.S. 219 (OLD 148) - Bronx,DSF0000684836,State of Good Repair - System Replacements - Gymnasium Upgrade,2010,299522
09,I.S. 219 (OLD 148) - Bronx,DSF0000709441,Educational Enhancements - Educational Enhancements - Room,2010,289278
