district,school_name,project_#,description,fy_constr_start,total
02,J.H.S. 47 (SCH FOR THE DEAF) - Manhattan,DSF0000739531,State of Good Repair - System Replacements - Auditorium Upgrade,2013,1254953
02,I.S. 70 - Manhattan,DSF0000417541,State of Good Repair - System Replacements - Exterior Masonry,2010,4710859
02,I.S. 70 - Manhattan,DSF0000417543,State of Good Repair - System Replacements - Roofs,2010,1718637
02,I.S. 70 - Manhattan,DSF0000417545,State of Good Repair - System Replacements - Windows,2010,3130263
02,I.S. 70 - Manhattan,DSF0000544281,State of Good Repair - System Replacements - Parapets,2010,2823373
02,I.S. 70 - Manhattan,DSF0000785366,State of Good Repair - System Replacements - Heating Plant Upgrade,2014,1127757
02,P.S./I.S. 89 - Manhattan,DSF0000751876,State of Good Repair - System Replacements - Parapets,2013,557025
02,I.S. 104 - Manhattan,DSF0000718882,State of Good Repair - System Replacements - Auditorium Upgrade,2012,886712
02,P.S. 111 - Manhattan,DSF0000673949,State of Good Repair - System Replacements - Electrical Systems,2010,330258
02,P.S. 111 - Manhattan,DSF0000718925,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2012,1194967
02,P.S. 124 (ECF) - Manhattan,DSF0000697962,State of Good Repair - System Replacements - Parapets,2011,547233
02,P.S. 124 (ECF) - Manhattan,DSF0000697963,State of Good Repair - System Replacements - Exterior Masonry,2011,1419084
02,P.S. 130 - Manhattan,DSF0000753044,State of Good Repair - Building Upgrade - Elevators and Escalators,2013,428098
02,P.S. 130 - Manhattan,SCA0000010431,State of Good Repair - System Replacements - Windows,2011,1580268
02,I.S. 131 - Manhattan,DSF0000710273,Educational Enhancements - Educational Enhancements - Room,2011,528767
02,I.S. 131 - Manhattan,DSF0000740430,State of Good Repair - System Replacements - Windows,2013,5923377
02,I.S. 131 - Manhattan,DSF0000740431,State of Good Repair - System Replacements - Exterior Masonry,2013,1123974
02,I.S. 131 - Manhattan,DSF0000763412,State of Good Repair - System Replacements - Roofs,2013,1374842
02,I.S. 131 - Manhattan,DSF0000763413,State of Good Repair - System Replacements - Parapets,2013,2085432
02,I.S. 167 - Manhattan,DSF0000740873,State of Good Repair - System Replacements - Auditorium Upgrade,2013,786076
02,I.S. 167 - Manhattan,DSF0000763838,State of Good Repair - System Replacements - Domestic Piping,2014,1127861
02,I.S. 167 - Manhattan,DSF0000786451,State of Good Repair - System Replacements - Heating Plant Upgrade,2014,1233519
02,P.S. 198 - Manhattan,DSF0000741188,State of Good Repair - System Replacements - Domestic Piping,2013,1510904
02,P.S. 198 - Manhattan,DSF0000752399,State of Good Repair - System Replacements - Gymnasium Upgrade,2013,924835
