district,school_name,borough,location
"2","MANHATTAN HIGH SCHOOL","M","320 WEST 21ST STREET"
"2","P.S. 51 ELIAS HOWE","M","525 WEST 44TH STREET"
"2","I.S. 260","M","425 WEST 33RD STREET"
"10","P.S. 51","X","695 EAST 182ND STREET"
"29","EAGLE ACADEMY","Q","171-10 LINDEN BOULEVARD"
"78Q","ADULT BASIC EDUCATION","Q","27-35 JACKSON AVENUE"
"78K","ALL CITY LEADERSHIP SECONDARY SCHOOL","K","321 PALMETTO STREET"
"78M","BROADWAY EDUCATION CAMPUS","M","26 BROADWAY"
"78M","BEACON HIGH SCHOOL","M","521 WEST 43RD STREET"
"78Q","MIDDLE COLLEGE CAMPUS","Q","45-35 VAN DAM STREET"
"78X","LAFAYETTE ACADEMIES","X","1231 LAFAYETTE AVENUE"
