,actual_est_completion,borough,building_id,constr_start,design_start,district,forecast_capacity,funding_reqd_fy15-19,needed_to_complete,previous_appropriations,program_category,project_#,reason,school_name,source,special_notes,total_est_cost,location
29,,Brooklyn,K073,,,23,,,,,Accessibility,,Alternate Project Prioritized,P.S. 73,cts,,,
30,,Queens,Q074,,,26,,,,,Elevators and Escalators,,Alternate Project Prioritized,I.S. 74,cts,,,
31,,Queens,Q048,,,28,,,,,School Safety,,Alternate Project Prioritized,P.S. 48,cts,,,
32,,Queens,Q080,,,28,,,,,Flood Elimination,,Alternate Project Prioritized,P.S. 80,cts,,,
33,,Queens,Q136,,,29,,,,,Flood Elimination,,Alternate Project Prioritized,P.S. 136,cts,,,
34,,Queens,Q208,,,29,,,,,Fencing,,Alternate Project Prioritized,P.S./I.S. 208,cts,,,
35,,Brooklyn,K116,,,32,,,,,Boiler Conversion,,Alternate Project Prioritized,P.S. 116,cts,,,
36,,Brooklyn,K116,,,32,,,,,Climate Control,,Alternate Project Prioritized,P.S. 116,cts,,,
37,,Manhattan,M480,,,78M,,,,,Toilets-Students,,Alternate Project Prioritized,JULIA RICHMAN ED. COMPLEX,cts,,,
38,,Queens,Q425,,,78Q,,,,,Roofs,,Alternate Project Prioritized,JOHN BOWNE HS,cts,,,
39,,Queens,Q425,,,78Q,,,,,Exterior Masonry,,Alternate Project Prioritized,JOHN BOWNE HS,cts,,,
40,,Queens,Q425,,,78Q,,,,,Electrical Systems,,Alternate Project Prioritized,JOHN BOWNE HS,cts,,,
41,,Queens,Q425,,,78Q,,,,,Interior Spaces,,Alternate Project Prioritized,JOHN BOWNE HS,cts,,,
42,,Bronx,X405,,,78X,,,,,Air Conditioning Split System,,Alternate Project Prioritized,HERBERT H. LEHMAN HS,cts,,,
43,,Bronx,X405,,,78X,,,,,Interior Spaces,,Alternate Project Prioritized,HERBERT H. LEHMAN HS,cts,,,
44,,Brooklyn,K834,,,75K,,,,,Code Compliance,,Lease Term Not Capital Eligible,P.S. 372 (OUR LADY OF PEACE),cts,,,
45,,Brooklyn,K520,,,78K,,,,,School Safety,,Lease Term Not Capital Eligible,PACIFIC ALT HS,cts,,,
46,,Manhattan,M061,,,01,,,,,Reinforcing Cinder Concrete Slabs,,No Capital Work Required,P.S. 61,cts,,,
47,,Manhattan,M001,,,02,,,,,Library Upgrades,,No Capital Work Required,P.S. 1,cts,,,
48,,Manhattan,M033,,,02,,,,,Windows,,No Capital Work Required,P.S. 33,cts,,,
49,,Manhattan,M033,,,02,,,,,Exterior Masonry,,No Capital Work Required,P.S. 33,cts,,,
50,,Manhattan,M047,,,02,,,,,Paved Area-Blacktop,,No Capital Work Required,J.H.S. 47 (SCH FOR THE DEAF),cts,,,
51,,Manhattan,M047,,,02,,,,,Low-Voltage Electrical Systems,,No Capital Work Required,J.H.S. 47 (SCH FOR THE DEAF),cts,,,
52,,Manhattan,M051,,,02,,,,,School Safety,,No Capital Work Required,P.S. 51,cts,,,695 EAST 182ND STREET
53,,Manhattan,M130,,,02,,,,,Floors,,No Capital Work Required,P.S. 130,cts,,,
54,,Manhattan,M130,,,02,,,,,Interior Spaces,,No Capital Work Required,P.S. 130,cts,,,
55,,Manhattan,M130,,,02,,,,,Technology,,No Capital Work Required,P.S. 130,cts,,,
56,,Manhattan,M198,,,02,,,,,Cafeteria / Multipurpose Room Upgrade,,No Capital Work Required,P.S. 198,cts,,,
57,,Manhattan,M180,,,03,,,,,Windows,,No Capital Work Required,P.S. 180,cts,,,
58,,Manhattan,M112,,,04,,,,,Climate Control,,No Capital Work Required,P.S. 112 (TANDEM M206),cts,,,
59,,Manhattan,M117,,,04,,,,,Exterior Masonry,,No Capital Work Required,J.H.S. 117,cts,,,
60,,Manhattan,M128,,,06,,,,,Windows,,No Capital Work Required,P.S. 128,cts,,,
61,,Manhattan,M128,,,06,,,,,Flood Elimination,,No Capital Work Required,P.S. 128,cts,,,
62,,Manhattan,M132,,,06,,,,,Toilets-Students,,No Capital Work Required,P.S. 132,cts,,,
63,,Manhattan,M132,,,06,,,,,Low-Voltage Electrical Systems,,No Capital Work Required,P.S. 132,cts,,,
64,,Manhattan,M223,,,06,,,,,Technology,,No Capital Work Required,I.S. 223 (MOTT HALL),cts,,,
65,,Bronx,X075,,,08,,,,,Windows,,No Capital Work Required,P.S. 75,cts,,,
66,,Bronx,X110,,,09,,,,,Climate Control,,No Capital Work Required,P.S. 110,cts,,,
67,,Bronx,X114,,,09,,,,,Auditorium Upgrade,,No Capital Work Required,P.S. 114,cts,,,
68,,Bronx,X117,,,09,,,,,Heating Plant Upgrade,,No Capital Work Required,I.S. 117,cts,,,
69,,Bronx,X173,,,09,,,,,Domestic Piping,,No Capital Work Required,P.S. 236,cts,,,
70,,Bronx,X008,,,10,,,,,Low-Voltage Electrical Systems,,No Capital Work Required,P.S. 8,cts,,,
71,,Bronx,X037,,,10,,,,,Code Compliance,,No Capital Work Required,P.S. 37,cts,,,
72,,Bronx,X056,,,10,,,,,Heating Plant Upgrade,,No Capital Work Required,P.S. 56,cts,,,
73,,Bronx,X283,,,10,,,,,Technology,,No Capital Work Required,JONAS BRONCK ACADEMY,cts,,,
74,,Bronx,X859,,,10,,,,,Code Compliance,,No Capital Work Required,P.S. 315,cts,,,
75,,Bronx,X105,,,11,,,,,Prior Plan Completion Cost,,No Capital Work Required,P.S. 105,cts,,,
76,,Bronx,X144,,,11,,,,,Safety Systems,,No Capital Work Required,I.S. 144,cts,,,
77,,Bronx,X181,,,11,,,,,Electrical Systems,,No Capital Work Required,I.S. 181,cts,,,
78,,Bronx,X067,,,12,,,,,Reinforcing Cinder Concrete Slabs,,No Capital Work Required,P.S. 67,cts,,,
79,,Bronx,X098,,,12,,,,,Toilets-Students,,No Capital Work Required,I.S. 98,cts,,,
80,,Brooklyn,K031,,,14,,,,,Parapets,,No Capital Work Required,P.S. 31 (OLD 126),cts,,,
81,,Brooklyn,K031,,,14,,,,,Exterior Masonry,,No Capital Work Required,P.S. 31 (OLD 126),cts,,,
82,,Brooklyn,K196,,,14,,,,,Low-Voltage Electrical Systems,,No Capital Work Required,P.S. 196,cts,,,
83,,Brooklyn,K318,,,14,,,,,Windows,,No Capital Work Required,I.S. 318,cts,,,
84,,Brooklyn,K021,,,16,,,,,Flood Elimination,,No Capital Work Required,P.S. 21,cts,,,
85,,Brooklyn,K002,,,17,,,,,Domestic Piping,,No Capital Work Required,I.S. 2,cts,,,
86,,Brooklyn,K874,,,17,,,,,Safety Systems,,No Capital Work Required,I.S. 340 (OLD 249 AX),cts,,,
87,,Brooklyn,K068,,,18,,,,,Ansul Systems,,No Capital Work Required,I.S. 68,cts,,,
88,,Brooklyn,K115,,,18,,,,,Flood Elimination,,No Capital Work Required,P.S. 115,cts,,,
89,,Brooklyn,K233,,,18,,,,,Windows,,No Capital Work Required,P.S. 233,cts,,,
90,,Brooklyn,K108,,,19,,,,,Low-Voltage Electrical Systems,,No Capital Work Required,P.S. 108,cts,,,
91,,Brooklyn,K069,,,20,,,,,Domestic Piping,,No Capital Work Required,P.S. 69,cts,,,
92,,Brooklyn,K104,,,20,,,,,Technology,,No Capital Work Required,P.S. 104,cts,,,
93,,Brooklyn,K163,,,20,,,,,Technology,,No Capital Work Required,P.S. 163,cts,,,159-01 59 AVENUE
94,,Brooklyn,K204,,,20,,,,,Low-Voltage Electrical Systems,,No Capital Work Required,P.S. 204,cts,,,
95,,Brooklyn,K220,,,20,,,,,Reinforcing Support Elements,,No Capital Work Required,I.S. 220,cts,,,
96,,Brooklyn,K940,,,20,,,,,Technology,,No Capital Work Required,I.S. 30,cts,,,
97,,Brooklyn,K099,,,21,,,,,Technology,,No Capital Work Required,P.S. 99,cts,,,
98,,Brooklyn,K128,,,21,,,,,Technology,,No Capital Work Required,P.S. 128 (TANDEM K280),cts,,,
99,,Brooklyn,K153,,,21,,,,,Technology,,No Capital Work Required,P.S. 153,cts,,,
100,,Brooklyn,K217,,,22,,,,,Technology,,No Capital Work Required,P.S. 217,cts,,,
101,,Brooklyn,K327,,,23,,,,,Windows,,No Capital Work Required,P.S. 327 (TANDEM K396-D75),cts,,,
102,,Brooklyn,K327,,,23,,,,,Lighting Fixtures,,No Capital Work Required,P.S. 327 (TANDEM K396-D75),cts,,,
103,,Queens,Q113,,,24,,,,,Technology,,No Capital Work Required,P.S./I.S. 113,cts,,,
104,,Queens,Q067,,,26,,,,,Reinforcing Cinder Concrete Slabs,,No Capital Work Required,J.H.S. 67,cts,,,
105,,Queens,Q216,,,26,,,,,Reinforcing Cinder Concrete Slabs,,No Capital Work Required,J.H.S. 216,cts,,,
106,,Queens,Q063,,,27,,,,,Technology,,No Capital Work Required,P.S. 63,cts,,,
107,,Queens,Q202,,,27,,,,,Technology,,No Capital Work Required,I.S. 202,cts,,,
108,,Queens,Q202,,,27,,,,,Technology,,No Capital Work Required,I.S. 202,cts,,,
109,,Queens,Q223,,,27,,,,,Roofs,,No Capital Work Required,P.S. 223,cts,,,
110,,Queens,Q232,,,27,,,,,Flood Elimination,,No Capital Work Required,P.S. 232,cts,,,
111,,Queens,Q055,,,28,,,,,Technology,,No Capital Work Required,P.S. 55,cts,,,
112,,Queens,Q117,,,28,,,,,Technology,,No Capital Work Required,P.S. 117,cts,,,
113,,Queens,Q160,,,28,,,,,Windows,,No Capital Work Required,P.S. 160,cts,,,
114,,Queens,Q015,,,29,,,,,Parapets,,No Capital Work Required,P.S. 15,cts,,,
115,,Queens,Q015,,,29,,,,,Flood Elimination,,No Capital Work Required,P.S. 15,cts,,,
116,,Queens,Q238,,,29,,,,,Electrical Systems,,No Capital Work Required,I.S. 238,cts,,,
117,,Queens,Q263,,,29,,,,,Technology,,No Capital Work Required,P.S. /I.S 295,cts,,,
118,,Queens,Q017,,,30,,,,,Technology,,No Capital Work Required,P.S. 17,cts,,,
119,,Queens,Q126,,,30,,,,,Floors,,No Capital Work Required,I.S. 126,cts,,,
120,,Queens,Q126,,,30,,,,,Reinforcing Cinder Concrete Slabs,,No Capital Work Required,I.S. 126,cts,,,
121,,Queens,Q126,,,30,,,,,Safety Systems,,No Capital Work Required,I.S. 126,cts,,,
122,,Queens,Q141,,,30,,,,,Flood Elimination,,No Capital Work Required,I.S. 141,cts,,,
123,,Queens,Q230,,,30,,,,,Library Upgrades,,No Capital Work Required,I.S. 230,cts,,,
124,,Queens,Q234,,,30,,,,,Low-Voltage Electrical Systems,,No Capital Work Required,P.S. 234,cts,,,
125,,Staten Island,R011,,,31,,,,,Technology,,No Capital Work Required,P.S. 11,cts,,,
126,,Staten Island,R035,,,31,,,,,Exterior Masonry,,No Capital Work Required,P.S. 35,cts,,,
127,,Staten Island,R058,,,31,,,,,Code Compliance,,No Capital Work Required,P.S. 58,cts,,,
128,,Brooklyn,K371,,,75K,,,,,Technology,,No Capital Work Required,P.S. 371 (OLD 615),cts,,,
129,,Brooklyn,K857,,,75K,,,,,Technology,,No Capital Work Required,P.S. 36 ANNEX,cts,,,
130,,Queens,Q075,,,75Q,,,,,Windows,,No Capital Work Required,P.S. 75 (R PEARY SCHOOL),cts,,,
131,,Queens,Q075,,,75Q,,,,,Reinforcing Support Elements,,No Capital Work Required,P.S. 75 (R PEARY SCHOOL),cts,,,
132,,Queens,Q722,,,75Q,,,,,Domestic Piping,,No Capital Work Required,JOHN F. KENNEDY JR. SCHOOL,cts,,,
133,,Bronx,X034,,,75X,,,,,Technology,,No Capital Work Required,P.S. 34,cts,,,
134,,Brooklyn,K515,,,78K,,,,,Windows,,No Capital Work Required,SOUTH SHORE HS,cts,,,
135,,Manhattan,M446,,,78M,,,,,Technology,,No Capital Work Required,UNIVERSITY NEIGHBORHOOD,cts,,,
136,,Manhattan,M630,,,78M,,,,,Technology,,No Capital Work Required,ART & DESIGN VOC HS (TNDEM M059),cts,,,
137,,Manhattan,M895,,,78M,,,,,Technology,,No Capital Work Required,YOUNG WOMEN'S LEADERSHIP HS,cts,,,
138,,Manhattan,M895,,,78M,,,,,Room Conversions/Partitioning,,No Capital Work Required,YOUNG WOMEN'S LEADERSHIP HS,cts,,,
139,,Queens,Q023,,,78Q,,,,,Reinforcing Cinder Concrete Slabs,,No Capital Work Required,QUEENS ACADEMY HS,cts,,,
140,,Queens,Q456,,,78Q,,,,,Roofs,,No Capital Work Required,HS FOR ARTS AND BUS. (OL NUTN X),cts,,,
141,,Queens,Q456,,,78Q,,,,,Exterior Masonry,,No Capital Work Required,HS FOR ARTS AND BUS. (OL NUTN X),cts,,,
142,,Technology,Q739 YOUNG WOMEN'S LEADERSHIP ACADEMY,,,78Q,,,,,No Capital Work Required,,,Q,cts,,,
143,,Staten Island,R445,,,78R,,,,,Low-Voltage Electrical Systems,,No Capital Work Required,PORT RICHMOND HS,cts,,,
144,,Staten Island,R450,,,78R,,,,,Heating Plant Upgrade,,No Capital Work Required,CURTIS HS,cts,,,
145,,Bronx,X420,,,78X,,,,,Reinforcing Cinder Concrete Slabs,,No Capital Work Required,JAMES MONROE CAMPUS,cts,,,
146,,Bronx,X425,,,78X,,,,,Reinforcing Cinder Concrete Slabs,,No Capital Work Required,EVANDER CHILDS HS,cts,,,
147,,Bronx,X897,,,78X,,,,,Low-Voltage Electrical Systems,,No Capital Work Required,OFFSITE ED. SERV. (0LD 124),cts,,,
148,,Manhattan,M660,,,02,,,,,Low-Voltage Electrical Systems,,Reclassified,SCHL OF THE FUTURE (OLD BACON),cts,,,
149,,Manhattan,M123,,,05,,,,,Lighting Fixtures,,Reclassified,P.S. 123,cts,,,
150,,Manhattan,M005,,,06,,,,,Roofs,,Reclassified,P.S. 5,cts,,,
151,,Manhattan,M005,,,06,,,,,Parapets,,Reclassified,P.S. 5,cts,,,
152,,Bronx,X065,,,07,,,,,Low-Voltage Electrical Systems,,Reclassified,P.S. 65,cts,,,
153,,Bronx,X151,,,07,,,,,Flood Elimination,,Reclassified,I.S. 151,cts,,,
154,,Bronx,X110,,,09,,,,,Boiler Conversion,,Reclassified,P.S. 110,cts,,,
155,,Bronx,X862,,,09,,,,,Paved Area-Concrete,,Reclassified,P.S. 63 MINISCHOOL,cts,,,
156,,Bronx,X007,,,10,,,,,Low-Voltage Electrical Systems,,Reclassified,P.S. 7,cts,,,
157,,Bronx,X056,,,10,,,,,Domestic Piping,,Reclassified,P.S. 56,cts,,,
158,,Bronx,X047,,,12,,,,,Gymnasium Upgrade,,Reclassified,P.S. 47,cts,,,
159,,Brooklyn,K136,,,15,,,,,Exterior Masonry,,Reclassified,I.S. 136,cts,,,
160,,Brooklyn,K314,,,20,,,,,Low-Voltage Electrical Systems,,Reclassified,P.S. 314,cts,,,4520 MATILDA AVENUE
161,,Brooklyn,K216,,,21,,,,,Reinforcing Support Elements,,Reclassified,P.S. 216,cts,,,
162,,Brooklyn,K225,,,21,,,,,Windows,,Reclassified,P.S. 225,cts,,,
163,,Queens,Q019,,,24,,,,,School Safety,,Reclassified,P.S. 19,cts,,,
164,,Queens,Q777,,,24,,,,,Low-Voltage Electrical Systems,,Reclassified,P.S. 199 ANNEX (@ ST. TERESA'S),cts,,,50-15 44TH STREET
165,,Queens,Q173,,,26,,,,,Paved Area-Blacktop,,Reclassified,P.S. 173,cts,,,
166,,Staten Island,R023,,,31,,,,,School Safety,,Reclassified,P.S. 23,cts,,,
167,,Queens,Q816,,,75Q,,,,,Low-Voltage Electrical Systems,,Reclassified,P.S. 256 ANNEX,cts,,,
168,,Queens,Q816,,,75Q,,,,,Cafeteria / Multipurpose Room Upgrade,,Reclassified,P.S. 256 ANNEX,cts,,,
169,,Brooklyn,K410,,,78K,,,,,Reinforcing Support Elements,,Reclassified,ABRAHAM LINCOLN HS,cts,,,
170,,Brooklyn,K410,,,78K,,,,,Safety Systems,,Reclassified,ABRAHAM LINCOLN HS,cts,,,
171,,Manhattan,M446,,,78M,,,,,Interior Spaces,,Reclassified,UNIVERSITY NEIGHBORHOOD,cts,,,
172,,Manhattan,M470,,,78M,,,,,School Improvement and Restructuring,,Reclassified,LOUIS D. BRANDEIS HS,cts,,,
173,,Manhattan,M535,,,78M,,,,,Reinforcing Support Elements,,Reclassified,PARK WEST HS (ECF),cts,,,
174,,Manhattan,M620,,,78M,,,,,Flood Elimination,,Reclassified,NORMAN THOMAS HS (ECF),cts,,,
175,,Manhattan,M620,,,78M,,,,,Roofs,,Reclassified,NORMAN THOMAS HS (ECF),cts,,,
176,,Manhattan,M620,,,78M,,,,,Exterior Masonry,,Reclassified,NORMAN THOMAS HS (ECF),cts,,,
177,,Queens,Q405,,,78Q,,,,,Flood Elimination,,Reclassified,BAYSIDE HS,cts,,,
178,,Queens,Q452,,,78Q,,,,,Exterior Masonry,,Reclassified,LONG ISLAND CITY HS (NEW),cts,,,
179,,Bronx,X421,,,78X,,,,,Athletic Fields,,Reclassified,MONROE AF,cts,,,
180,,Manhattan,M145,,,03,,,,,Room Conversions/Partitioning,,School Management Directive,P.S. 145,cts,,,
181,,Brooklyn,K136,,,15,,,,,School Safety,,School Management Directive,I.S. 136,cts,,,
182,,Brooklyn,K190,,,19,,,,,School Safety,,School Management Directive,P.S. 190,cts,,,
183,,Brooklyn,K102,,,20,,,,,Accessibility,,School Management Directive,P.S. 102,cts,,,
184,,Brooklyn,K864,,,22,,,,,Playground Redevelopment,,School Management Directive,P.S. 361 (OLD 89),cts,,,
185,,Queens,Q014,,,24,,,,,Playground Redevelopment,,School Management Directive,P.S. 14,cts,,,
186,,Queens,Q203,,,26,,,,,Safety Systems,,School Management Directive,P.S. 203,cts,,,
187,,Queens,Q106,,,27,,,,,Accessibility,,School Management Directive,P.S. 106,cts,,,
188,,Queens,Q156,,,29,,,,,Playground Redevelopment,,School Management Directive,P.S. 156,cts,,,
189,,Staten Island,R080,,,31,,,,,Room Conversions/Partitioning,,School Management Directive,REGION 7/ ROC F,cts,,,
190,,Manhattan,M061,,,01,,,,,Gymnasium Upgrade,,Work Previously Completed,P.S. 61,cts,,,
191,,Manhattan,M192,,,06,,,,,Exterior Masonry,,Work Previously Completed,P.S. 192,cts,,,
192,,Bronx,X082,,,09,,,,,Library Upgrades,,Work Previously Completed,I.S. 232,cts,,,
193,,Bronx,X032,,,10,,,,,Flood Elimination,,Work Previously Completed,P.S. 32,cts,,,
194,,Bronx,X112,,,11,,,,,Lighting Fixtures,,Work Previously Completed,P.S. 112,cts,,,
195,,Bronx,X061,,,12,,,,,Ansul Systems,,Work Previously Completed,P.S. 61,cts,,,
196,,Brooklyn,K190,,,19,,,,,Flood Elimination,,Work Previously Completed,P.S. 190,cts,,,
197,,Brooklyn,K201,,,20,,,,,Kitchen Areas,,Work Previously Completed,I.S. 201,cts,,,
198,,Queens,Q007,,,24,,,,,Heating Plant Upgrade,,Work Previously Completed,P.S. 7,cts,,,
199,,Queens,Q213,,,26,,,,,Reinforcing Cinder Concrete Slabs,,Work Previously Completed,P.S. 213,cts,,,
200,,Queens,Q251,,,29,,,,,Technology,,Work Previously Completed,P.S. 251 (TANDEM Q231),cts,,,
201,,Staten Island,R831,,,31,,,,,Paved Area-Blacktop,,Work Previously Completed,P.S. 16 ANNEX,cts,,,
202,,Staten Island,R844,,,31,,,,,Flood Elimination,,Work Previously Completed,P.S. 36 ANNEX,cts,,,
203,,Manhattan,M097,,,78M,,,,,Safety Systems,,Work Previously Completed,BARD COLLEGE HS (OLD M097),cts,,,
204,,Queens,Q774,,,78Q,,,,,Technology,,Work Previously Completed,QUEENS HS FOR THE SCIENCES,cts,,,
205,,Bronx,X405,,,78X,,,,,Low-Voltage Electrical Systems,,Work Previously Completed,HERBERT H. LEHMAN HS,cts,,,
206,,Bronx,X410,,,78X,,,,,Reinforcing Cinder Concrete Slabs,,Work Previously Completed,WILLIAM H. TAFT HS,cts,,,
207,,Bronx,X470,,,78X,,,,,Prior Plan Completion Cost,,Work Previously Completed,SOUTH BRONX HS (OLD 38),cts,,,
208,Sep 2012,Manhattan,,Nov 2010,May 2009,02,374,0.0,0.0,0.0,,DSF0000687090,,P.S. 59 (MEETH),ts,*,0.0,213 EAST 63 STREET
209,Sep 2013,Manhattan,,Jul 2010,Apr 2009,02,640,716000000.0,19600000.0,333600000.0,,DSF0000687092,,P.S. 281,ts,*,1069200000.0,425 EAST 35 STREET
210,Sep 2014,Manhattan,,Jul 2012,Jun 2010,02,518,566200000.0,26000000.0,632800000.0,,DSF0000687091,,THE SIXTH AVENUE EDUCATIONAL CAMPUS,ts,*,1225000000.0,590 SIXTH AVENUE
211,Jun 2012,Manhattan,,Jan 2012,Jun 2011,02,126,31400000.0,1800000.0,0.0,,DSF0000709406,,P.S. 527 - EAST SIDE SCHOOL FOR SOCIAL ACTION,ts,*L,33200000.0,323 EAST 91 STREET
212,Jul 2015,Manhattan,,Jun 2012,Aug 2011,02,307,470800000.0,58000000.0,100000.0,,DSF0000710937,,THE CLINTON SCHOOL,ts,*,528800000.0,10 EAST 15 STREET
213,Aug 2013,Bronx,,Jun 2010,May 2009,09,391,517500000.0,9600000.0,1800000.0,,DSF0000417427,,HIGHBRIDGE ENVIRONMENTAL EDUCATION CAMPUS,ts,*,528900000.0,200 WEST 167 STREET
214,May 2016,Bronx,,Mar 2014,Oct 2012,10,428,554900000.0,167200000.0,0.0,,DSF0000752872,,P.S. 56 ADDITION,ts,*,722099999.9999999,341 EAST 207 STREET
215,Mar 2014,Bronx,,Jun 2010,Apr 2009,10,640,614400000.0,89400000.0,80200000.0,,DSF0000418128,,THE NORWOOD EAST CAMPUS,ts,*,784000000.0,3177 WEBSTER AVENUE
216,Sep 2015,Bronx,,Jul 2013,May 2012,11,408,479200000.0,120900000.0,600000.0,,DSF0000752490,,P.S. 96 ADDITION,ts,*,600700000.0,2385 OLINVILLE AVENUE
217,Aug 2013,Bronx,,Apr 2010,Jun 2009,11,379,441100000.0,24100000.0,36400000.0,,DSF0000688281,,THE DOMINIC CASTORE EDUCATIONAL COMPLEX,ts,*,501700000.0,800 LYDIG AVE
218,Sep 2015,Bronx,,Jan 2014,Sep 2012,11,284,112800000.0,118200000.0,0.0,,DSF0000752873,,P.S. 311,ts,*L,231000000.0,1684 WHITE PLAINS ROAD
219,Aug 2014,Brooklyn,,Jun 2012,Apr 2010,15,332,179800000.0,21100000.0,0.0,,DSF0000687095,,P.S. 516 SUNSET PARK AVENUES ELEMENTARY SCHOOL,ts,*L,200900000.0,4222 4TH AVENUE
220,Sep 2015,Brooklyn,,Jul 2012,Feb 2011,15,757,903700000.0,332600000.0,1400000.0000000002,,DSF0000730968,,PARKSIDE COMMUNITY COMPLEX,ts,*,1237700000.0,713 CATON AVENUE
221,Sep 2013,Brooklyn,,Jun 2013,Dec 2012,15,256,40900000.0,6700000.0,0.0,,DSF0000775561,,P.S. 118 MAURICE SENDAK COMMUNITY SCHOOL,ts,*L,47600000.0,211 8TH STREET
222,Aug 2012,Brooklyn,,Jun 2010,Jan 2009,20,367,383900000.0,1400000.0000000002,49100000.0,,DSF0000687106,,PS 310 THE SCHOOL FOR FUTURE LEADERS,ts,*,434400000.0,942 62 STREET
223,Jun 2013,Brooklyn,,Jul 2010,Mar 2009,20,708,681600000.0,35500000.0,131500000.0,,DSF0000417409,,P.S./I.S. 30 MARY WHITE OVINGTON,ts,*,848600000.0,7002 4TH AVENUE
