,actual_est_completion,borough,building_id,constr_start,design_start,district,forecast_capacity,funding_reqd_fy15-19,needed_to_complete,previous_appropriations,program_category,project_#,reason,school_name,source,special_notes,total_est_cost,location
0,Aug 2013,Manhattan,,Jul 2010,Mar 2009,02,Replacement,365200000.00000006,31600000.0,2800000.0000000005,,DSF0000688179,,P.S. 51 ELIAS HOWE,jects,*,399500000.0,525 WEST 44TH STREET
1,Aug 2013,Manhattan,,Jul 2010,Mar 2009,02,Replacement,365200000.00000006,31600000.0,2800000.0000000005,,DSF0000688179,,P.S. 51 ELIAS HOWE,jects,*,399500000.0,525 WEST 44 STREET
2,Sep 2010,Manhattan,,Jul 2010,Apr 2010,02,Replacement,60400000.0,8600000.0,0.0,,DSF0000710330,,I.S. 260,jects,* L,69000000.0,425 WEST 33RD STREET
3,Aug 2014,Bronx,,Jul 2012,Aug 2011,10,Replacement,96000000.0,21700000.0,0.0,,DSF0000732170,,P.S. 51,jects,* L,117700000.0,695 EAST 182ND STREET
4,Sep 2012,Queens,,Jun 2012,Mar 2012,29,Replacement,183000000.0,16900000.0,0.0,,DSF0000752868,,EAGLE ACADEMY,jects,* L,199899999.99999997,171-10 LINDEN BOULEVARD
5,Aug 2013,Queens,,Jan 2013,Jul 2012,29,Replacement,95500000.0,5200000.0,0.0,,DSF0000754449,,EAGLE ACADEMY,jects,* L,100700000.0,171-10 LINDEN BOULEVARD
6,Jul 2013,Queens,,Feb 2013,Sep 2012,30,Replacement,63000000.0,400000.0,0.0,,DSF0000754388,,ADULT BASIC EDUCATION,jects,* L,63400000.0,27-35 JACKSON AVENUE
7,Jan 2013,Brooklyn,,Jun 2010,Oct 2007,78K,Replacement,511599999.99999994,64200000.0,29700000.000000004,,DSF0000544842,,SCHOOL,jects,"ALL CITY LEADERSHIP SECONDARY
* L",605400000.0,
8,Jun 2011,Manhattan,,Jun 2010,Jun 2009,78M,Replacement,292600000.0,0.0,1500000.0,,DSF0000622556,,BROADWAY EDUCATION CAMPUS,jects,* L,294200000.0,26 BROADWAY
9,Aug 2015,Manhattan,,Jun 2012,Feb 2011,78M,Replacement,1458899999.9999998,214400000.0,0.0,,DSF0000710361,,BEACON HIGH SCHOOL,jects,*,1673300000.0000002,521 WEST 43RD STREET
10,Sep 2012,Queens,,Jun 2010,Nov 2009,78Q,Replacement,681500000.0,23800000.0,130600000.0,,DSF0000622665,,MIDDLE COLLEGE CAMPUS,jects,*,836100000.0,45-35 VAN DAM STREET
11,Aug 2013,Bronx,,Aug 2011,Sep 2010,78X,Replacement,109400000.0,5300000.0,0.0,,DSF0000710107,,LAFAYETTE ACADEMIES ,jects,* L,114800000.0,
12,,Manhattan,M133,,,05,,,,,Boiler Conversion,,Alternate Project Prioritized,P.S. 133,cts,,,
13,,Manhattan,M133,,,05,,,,,Climate Control,,Alternate Project Prioritized,P.S. 133,cts,,,
14,,Bronx,X001,,,07,,,,,Boiler Conversion,,Alternate Project Prioritized,P.S. 1,cts,,,
15,,Bronx,X001,,,07,,,,,Climate Control,,Alternate Project Prioritized,P.S. 1,cts,,,
16,,Bronx,X132,,,09,,,,,Boiler Conversion,,Alternate Project Prioritized,P.S. 132,cts,,,
17,,Bronx,X132,,,09,,,,,Climate Control,,Alternate Project Prioritized,P.S. 132,cts,,,
18,,Bronx,X166,,,09,,,,,Elevators and Escalators,,Alternate Project Prioritized,I.S. 166,cts,,,
19,,Bronx,X115,,,10,,,,,HVAC System,,Alternate Project Prioritized,I.S. 399 (OLD X HS/115),cts,,,
20,,Bronx,X115,,,10,,,,,Air Conditioning Retrofit,,Alternate Project Prioritized,I.S. 399 (OLD X HS/115),cts,,,
21,,Bronx,X129,,,12,,,,,Boiler Conversion,,Alternate Project Prioritized,I.S. 129 (PAIRED W P234),cts,,,
22,,Bronx,X129,,,12,,,,,Climate Control,,Alternate Project Prioritized,I.S. 129 (PAIRED W P234),cts,,,
23,,Brooklyn,K044,,,13,,,,,Boiler Conversion,,Alternate Project Prioritized,P.S. 44,cts,,,
24,,Brooklyn,K044,,,13,,,,,Climate Control,,Alternate Project Prioritized,P.S. 44,cts,,,
25,,Brooklyn,K067,,,13,,,,,Accessibility,,Alternate Project Prioritized,P.S. 67,cts,,,
26,,Brooklyn,K071,,,14,,,,,Boiler Conversion,,Alternate Project Prioritized,I.S. 71,cts,,,
27,,Brooklyn,K071,,,14,,,,,Climate Control,,Alternate Project Prioritized,I.S. 71,cts,,,
28,,Brooklyn,K088,,,15,,,,,HVAC,,Alternate Project Prioritized,I.S. 88,cts,,,
