  sum, cd
  81013843, 106
  83692167, 201
  83874442, 407
  86839010, 208
  86845792, 305
  86895171, 304
  87853170, 502
  88099524, 413
  88257378, 104
  88654676, 316
  89353387, 109
  89367363, 207
  90439638, 108
  92293767, 302
  95492780, 112
  99644421, 301
 100108440, 401
 103984902, 306
 107587605, 204
 109376769, 210
 114673819, 205
 115418781, 303
 115595075, 411
 117555437, 315
 117850057, 317
 118612175, 310
 120360514, 206
 128427878, 501
 130341312, 111
 138223216, 412
 161043824, 209
 165424616, 318
 167779196, 203
 256899827, 313
 257793597, 414
 325322457, NA
