borough,buildingid,actualestcompletion,constrstart,designstart,forecastcapacity,fundingreqd,location,neededtocomplete,previousappropriations,projectid,totalestcost,district,schoolname,description,type,source,geom
Bronx,X048,,,,,,,,,DSF0000800213,"366,628",8,P.S. 48,Classroom Connectivity,School Programs,sca_cp_programs_FY2015-19,0101000020E6100000B40584D6C37852C0BC0512143F684440
Queens,Q122,,,,,,,,,DSF0000867065,"472,848",30,P.S. 122,IP Surveillance Camera Installation,School Programs,sca_cp_programs_FY2015-19,0101000020E6100000C1ADBB79AA7A52C00F441669E2634440
Bronx,X084,,,,,,,,,DSF0000865924,"337,396",75X,P.S. 811 (OLD I84),Classroom Connectivity,School Programs,sca_cp_programs_FY2015-19,0101000020E6100000B456B439CE7852C06CB587BD506A4440
Brooklyn,K021,,,,,,,,,DSF0000776035,"527,530",16,P.S. 21,IP Surveillance Camera Installation,School Programs,sca_cp_programs_FY2015-19,0101000020E610000097E4805D4D7B52C08940F50F22574440
Bronx,X093,,,,,,,,,DSF0000800226,"37,041",8,P.S. 93,Classroom Connectivity,School Programs,sca_cp_programs_FY2015-19,0101000020E610000085D1AC6C1F7852C0A051BAF42F694440
Brooklyn,K136,,,,,,,,,DSF0000752460,"582,208",15,I.S. 136,IP Surveillance Camera Installation,School Programs,sca_cp_programs_FY2015-19,0101000020E61000007365506D708052C0425F7AFB73534440
Manhattan,M158,,,,,,,,,DSF0000865910,"267,525",2,P.S. 158,Classroom Connectivity,School Programs,sca_cp_programs_FY2015-19,0101000020E61000002EC55565DF7C52C0C79BFC169D624440
Manhattan,M075,,,,,,,,,DSF0000823602,"858,749",3,P.S. 75,Heating Plant Upgrade,School Programs,sca_cp_programs_FY2015-19,0101000020E6100000575D876A4A7E52C0BE175FB4C7654440
Bronx,X055,,,,,,,,,DSF0000800215,"373,323",9,P.S. 55,Classroom Connectivity,School Programs,sca_cp_programs_FY2015-19,0101000020E6100000041BD7BFEB7952C02E1F49490F6B4440
Bronx,X145,,,,,,,,,DSF0000843876,"401,531",9,I.S. 145,Technology,School Programs,sca_cp_programs_FY2015-19,0101000020E61000000394861A857A52C03F027FF8F9694440
Bronx,X090,,,,,,,,,DSF0000867095,"269,560",9,P.S. 90,New/Retrofit Telephone/Intercom Systems,School Programs,sca_cp_programs_FY2015-19,0101000020E610000050C24CDBBF7A52C04E44BFB67E6A4440
Bronx,X362,,,,,,,,,DSF0000800254,"150,670",78X,I.S./H.S. 362,Classroom Connectivity,School Programs,sca_cp_programs_FY2015-19,0101000020E6100000B5DFDA89927652C0FFAF3A72A4714440
Brooklyn,K114,,,,,,,,,DSF0000891000,2540000,18,P.S. 114,Code Compliance,School Programs,sca_cp_programs_FY2020-24,0101000020E6100000261AA4E0297A52C0B2101D0247524440
Brooklyn,K778,,,,,,,,,DSF0000822118,"2,068,190",78K,EL PUENTE HS,Exterior Masonry,School Programs,sca_cp_programs_FY2015-19,0101000020E6100000AA2C0ABB287D52C0E9279CDD5A5A4440
Bronx,X192,,,,,,,,,DSF0000800195,"236,532",8,I.S. 192,New/Retrofit Telephone/Intercom Systems,School Programs,sca_cp_programs_FY2015-19,0101000020E6100000635FB2F1607452C098A59D9ACB694440
Bronx,X400,,,,,,,,,DSF0000800255,"256,082",78X,MORRIS HS,Classroom Connectivity,School Programs,sca_cp_programs_FY2015-19,0101000020E61000005CC7B8E2E27952C0E4654D2CF0694440
Queens,Q071,,,,,,,,,DSF0000822249,"676,345",24,P.S. 71,Accessibility,School Programs,sca_cp_programs_FY2015-19,0101000020E6100000B5E1B034F07952C096E82CB3085B4440
