borough,buildingid,actualestcompletion,constrstart,designstart,forecastcapacity,fundingreqd,location,neededtocomplete,previousappropriations,projectid,totalestcost,district,schoolname,description,type,source,geom
Bronx,X089,,,,,,,,,DSF0000800224,"439,816",11,P.S. 89,Classroom Connectivity,School Programs,sca_cp_programs_FY2015-19,0101000020E6100000E2E65432007752C01CD31396786E4440
Queens,Q430,,,,,,,,,DSF0000867117,"431,656",78Q,FRANCIS LEWIS HS,IP Surveillance Camera Installation,School Programs,sca_cp_programs_FY2015-19,0101000020E610000069520ABABD7252C060AE450BD05E4440
Queens,Q107,,,,,,,,,DSF0000865915,"276,196",25,P.S. 107,Classroom Connectivity,School Programs,sca_cp_programs_FY2015-19,0101000020E61000008F1A13622E7352C0E92CB308C5604440
Manhattan,M528,,,,,,,,,DSF0000866203,"22,121",6,I.S. 528,Classroom Connectivity,School Programs,sca_cp_programs_FY2015-19,0101000020E610000090662C9ACE7B52C0E275FD82DD6C4440
Queens,Q091,,,,,,,,,DSF0000866206,"232,205",24,P.S. 91,Classroom Connectivity,School Programs,sca_cp_programs_FY2015-19,0101000020E61000007C9DD497A57852C03E3C4B90115A4440
Queens,Q053,,,,,,,,,DSF0000843772,"2,128,269",27,I.S. 53,Code Compliance,School Programs,sca_cp_programs_FY2015-19,0101000020E610000008228B34F16F52C0B492567C434D4440
Bronx,X152,,,,,,,,,DSF0000800245,"392,853",8,P.S. 152,Classroom Connectivity,School Programs,sca_cp_programs_FY2015-19,0101000020E6100000170D198F527852C0A911FA997A694440
Queens,Q055,,,,,,,,,DSF0000865913,"344,155",28,P.S. 55,Classroom Connectivity,School Programs,sca_cp_programs_FY2015-19,0101000020E6100000E316F373437452C087A5811FD5584440
Queens,Q012,,,,,,,,,DSF0000843797,"41,085",24,P.S. 12,Classroom Connectivity,School Programs,sca_cp_programs_FY2015-19,0101000020E6100000232D95B7237952C016F71F990E5F4440
Queens,Q030,,,,,,,,,DSF0000799997,"2,921,912",28,P.S. 30,State of Good Repair - System Replacements - Parapets,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000753E3C4B907152C02592E86514574440
Queens,Q176,,,,,,,,,DSF0000866209,"196,939",29,P.S. 176,Classroom Connectivity,School Programs,sca_cp_programs_FY2015-19,0101000020E6100000CC2A6C06B86E52C0B7D5AC33BE574440
Bronx,X071,,,,,,,,,DSF0000772079,"306,203",8,P.S. 71,State of Good Repair - System Replacements - Roofs,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000006F1118EB1B7552C0E43098BF426C4440
Bronx,X071,,,,,,,,,DSF0000772080,"1,405,649",8,P.S. 71,State of Good Repair - System Replacements - Parapets,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000006F1118EB1B7552C0E43098BF426C4440
Bronx,X070,,,,,,,,,DSF0000817970,"665,090",9,P.S. 70,State of Good Repair - System Replacements - Parapets,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000E3546B61167A52C06346787B106C4440
Bronx,X145,,,,,,,,,DSF0000843878,"467,085",9,I.S. 145,Technology,School Programs,sca_cp_programs_FY2015-19,0101000020E61000000394861A857A52C03F027FF8F9694440
Bronx,X209,,,,,,,,,DSF0000865931,"172,054",10,P.S. 209,Classroom Connectivity,School Programs,sca_cp_programs_FY2015-19,0101000020E61000006AA4A5F2767952C0925D6919A96D4440
Bronx,X475,,,,,,,,,DSF0000823599,"6,782,864",78X,JOHN F. KENNEDY HS,Interior Spaces,School Programs,sca_cp_programs_FY2015-19,0101000020E61000001B65FD66627A52C03C1405FA44704440
Queens,Q171,,,,,,,,,DSF0000867039,"417,564",30,P.S. 171,IP Surveillance Camera Installation,School Programs,sca_cp_programs_FY2015-19,0101000020E6100000F94A2025767B52C01D1D5723BB624440
Brooklyn,K086,,,,,,,,,DSF0000867172,"1,510,000",32,P.S. 86,Domestic Piping,School Programs,sca_cp_programs_FY2015-19,0101000020E6100000FBAE08FEB77A52C08DF161F6B2594440
Queens,Q177,,,,,,,,,DSF0000843802,"356,146",75Q,P.S. 177,Classroom Connectivity,School Programs,sca_cp_programs_FY2015-19,0101000020E61000007FF964C5707252C06C956071385F4440
Bronx,X132,,,,,,,,,DSF0000800237,"91,390",9,P.S. 132,Classroom Connectivity,School Programs,sca_cp_programs_FY2015-19,0101000020E6100000C7D45DD9057A52C00377A04E796A4440
Bronx,X360,,,,,,,,,DSF0000800253,"332,733",10,P.S. 360,Classroom Connectivity,School Programs,sca_cp_programs_FY2015-19,0101000020E61000002B508BC1C37952C09F211CB3EC6F4440
Brooklyn,K124,,,,,,,,,DSF0000825396,"279,103",15,P.S. 124,Domestic Piping,School Programs,sca_cp_programs_FY2015-19,0101000020E610000039B5334C6D7F52C0DDCD531D72554440
Brooklyn,K281,,,,,,,,,DSF0000776047,"672,429",21,I.S. 281,IP Surveillance Camera Installation,School Programs,sca_cp_programs_FY2015-19,0101000020E6100000DE3EABCC947F52C0E57B4622344C4440
Queens,Q053,,,,,,,,,DSF0000867144,"356,891",27,I.S. 53,New/Retrofit Telephone/Intercom Systems,School Programs,sca_cp_programs_FY2015-19,0101000020E610000008228B34F16F52C0B492567C434D4440
Brooklyn,K033,,,,,,,,,DSF0000821682,"347,382",14,I.S. 33,Ansul Systems,School Programs,sca_cp_programs_FY2015-19,0101000020E6100000600322C4957C52C0A62BD8463C594440
Bronx,X852,,,,,,,,,DSF0000865934,"164,836",10,BRONX DANCE ACADEMY,Classroom Connectivity,School Programs,sca_cp_programs_FY2015-19,0101000020E6100000B4588AE42B7852C04A95287B4B714440
Bronx,X043,,,,,,,,,DSF0000866211,"40,040",7,P.S. 43,Classroom Connectivity,School Programs,sca_cp_programs_FY2015-19,0101000020E61000002F4D11E0F47A52C0670C738236674440
Manhattan,M056,,,,,,,,,DSF0000866194,"48,516",1,J.H.S. 56,Classroom Connectivity,School Programs,sca_cp_programs_FY2015-19,0101000020E610000084B70721207F52C0D8D64FFF595B4440
Bronx,X170,,,,,,,,,DSF0000867094,"158,611",9,P.S. 170 (ECC),New/Retrofit Telephone/Intercom Systems,School Programs,sca_cp_programs_FY2015-19,0101000020E6100000AB5FE97C787A52C0A9BEF38B126C4440
Manhattan,M015,,,,,,,,,DSF0000808160,"64,438",1,P.S. 15,State of Good Repair - System Replacements - Toilets - Students,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000002104E44BA87E52C00E83F92B645C4440
Manhattan,M015,,,,,,,,,DSF0000798364,"806,266",1,P.S. 15,State of Good Repair - Building Upgrade - Lighting Fixtures,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000002104E44BA87E52C00E83F92B645C4440
Manhattan,M015,,,,,,,,,DSF0000843821,"57,155",1,P.S. 15,State of Good Repair - System Replacements - Domestic Piping,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000002104E44BA87E52C00E83F92B645C4440
Manhattan,M015,,,,,,,,,DSF0000808159,"102,760",1,P.S. 15,State of Good Repair - System Replacements - Heating Plant Upgrade,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000002104E44BA87E52C00E83F92B645C4440
Manhattan,M015,,,,,,,,,DSF0000784791,"31,680",1,P.S. 15,State of Good Repair - System Replacements - Heating Plant Upgrade,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000002104E44BA87E52C00E83F92B645C4440
Manhattan,M015,,,,,,,,,DSF0000739189,"1,564,573",1,P.S. 15,State of Good Repair - Building Upgrade - Low-Voltage Electrical System,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000002104E44BA87E52C00E83F92B645C4440
Manhattan,M015,,,,,,,,,DSF0000866159,"57,811",1,P.S. 15,State of Good Repair - Building Upgrade - Climate Control,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000002104E44BA87E52C00E83F92B645C4440
Manhattan,M019,,,,,,,,,DSF0000808194,"928,320",1,P.S. 19,State of Good Repair - Building Upgrade - Lighting Fixtures,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000D5CDC5DFF67E52C0FCFD62B6645D4440
Manhattan,M019,,,,,,,,,DSF0000808201,"138,145",1,P.S. 19,State of Good Repair - System Replacements - Toilets - Students,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000D5CDC5DFF67E52C0FCFD62B6645D4440
Manhattan,M034,,,,,,,,,DSF0000897945,899858,01,P.S. 34,State of Good Repair - Building Upgrade - Flood Elimination,State of Good Repair ,sca_cp_programs_FY2020-24,0101000020E61000008FAB915D697E52C0A8363811FD5C4440
Manhattan,M034,,,,,,,,,DSF0000897947,2319915,01,P.S. 34,State of Good Repair - System Replacements - Exterior Masonry,State of Good Repair ,sca_cp_programs_FY2020-24,0101000020E61000008FAB915D697E52C0A8363811FD5C4440
Manhattan,M034,,,,,,,,,DSF0000897946,2643075,01,P.S. 34,State of Good Repair - System Replacements - Parapets,State of Good Repair ,sca_cp_programs_FY2020-24,0101000020E61000008FAB915D697E52C0A8363811FD5C4440
Manhattan,M034,,,,,,,,,DSF0000866868,"3,000",1,P.S. 34,State of Good Repair - System Replacements - Electrical Systems,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000008FAB915D697E52C0A8363811FD5C4440
Manhattan,M034,,,,,,,,,DSF0000808331,"144,786",1,P.S. 34,State of Good Repair - System Replacements - Heating Plant Upgrade,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000008FAB915D697E52C0A8363811FD5C4440
Manhattan,M063,,,,,,,,,DSF0000808675,"76,064",1,P.S. 63,State of Good Repair - System Replacements - Toilets - Students,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000005419C6DD207F52C023BDA8DDAF5C4440
Manhattan,M064,,,,,,,,,DSF0000898269,3135589,01,P.S. 64 (OLD 71),State of Good Repair - System Replacements - Parapets,State of Good Repair ,sca_cp_programs_FY2020-24,0101000020E6100000B43C0FEECE7E52C030F0DC7BB85C4440
Bronx,X052,,,,,,,,,DSF0000800214,"241,384",8,I.S. 302,Classroom Connectivity,School Programs,sca_cp_programs_FY2015-19,0101000020E61000008E5C37A5BC7952C0E19A3BFA5F684440
Manhattan,M064,,,,,,,,,DSF0000898270,6701034,01,P.S. 64 (OLD 71),State of Good Repair - System Replacements - Exterior Masonry,State of Good Repair ,sca_cp_programs_FY2020-24,0101000020E6100000B43C0FEECE7E52C030F0DC7BB85C4440
Manhattan,M064,,,,,,,,,DSF0000776052,"546,422",1,P.S. 64 (OLD 71),IP Surveillance Camera Installation,School Programs,sca_cp_programs_FY2015-19,0101000020E6100000B43C0FEECE7E52C030F0DC7BB85C4440
Manhattan,M064,,,,,,,,,DSF0000898265,1745226,01,P.S. 64 (OLD 71),State of Good Repair - Building Upgrade - Flood Elimination,State of Good Repair ,sca_cp_programs_FY2020-24,0101000020E6100000B43C0FEECE7E52C030F0DC7BB85C4440
Manhattan,M064,,,,,,,,,DSF0000898268,4588785,01,P.S. 64 (OLD 71),State of Good Repair - System Replacements - Roofs,State of Good Repair ,sca_cp_programs_FY2020-24,0101000020E6100000B43C0FEECE7E52C030F0DC7BB85C4440
Manhattan,M064,,,,,,,,,DSF0000865997,"170,000",1,P.S. 64 (OLD 71),State of Good Repair - System Replacements - Toilets - Students,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000B43C0FEECE7E52C030F0DC7BB85C4440
Manhattan,M064,,,,,,,,,DSF0000785332,"342,319",1,P.S. 64 (OLD 71),State of Good Repair - System Replacements - Toilets - Students,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000B43C0FEECE7E52C030F0DC7BB85C4440
Manhattan,M064,,,,,,,,,DSF0000822021,"210,552",1,P.S. 64 (OLD 71),New/Retrofit Telephone/Intercom Systems,School Programs,sca_cp_programs_FY2015-19,0101000020E6100000B43C0FEECE7E52C030F0DC7BB85C4440
Bronx,X108,,,,,,,,,DSF0000865926,"225,202",11,P.S. 108,Classroom Connectivity,School Programs,sca_cp_programs_FY2015-19,0101000020E61000001C446B459B7652C03C855CA9676D4440
Manhattan,M064,,,,,,,,,DSF0000866118,"77,690",1,P.S. 64 (OLD 71),State of Good Repair - System Replacements - Heating Plant Upgrade,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000B43C0FEECE7E52C030F0DC7BB85C4440
Manhattan,M064,,,,,,,,,DSF0000866876,"9,000",1,P.S. 64 (OLD 71),State of Good Repair - System Replacements - Electrical Systems,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000B43C0FEECE7E52C030F0DC7BB85C4440
Manhattan,M110,,,,,,,,,DSF0000809086,"239,569",1,P.S. 110,State of Good Repair - System Replacements - Toilets - Students,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E610000014252191B67E52C0A1DB4B1AA35B4440
Manhattan,M110,,,,,,,,,DSF0000866003,"107,936",1,P.S. 110,State of Good Repair - System Replacements - Toilets - Students,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E610000014252191B67E52C0A1DB4B1AA35B4440
Manhattan,M134,,,,,,,,,DSF0000798307,"935,877",1,P.S. 134,State of Good Repair - Building Upgrade - Lighting Fixtures,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E610000094128255F57E52C0F3599E07775B4440
Manhattan,M134,,,,,,,,,DSF0000809418,"101,351",1,P.S. 134,State of Good Repair - System Replacements - Toilets - Students,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E610000094128255F57E52C0F3599E07775B4440
Manhattan,M134,,,,,,,,,DSF0000867086,"244,033",1,P.S. 134,New/Retrofit Telephone/Intercom Systems,School Programs,sca_cp_programs_FY2015-19,0101000020E610000094128255F57E52C0F3599E07775B4440
Manhattan,M140,,,,,,,,,DSF0000866196,"22,121",1,P.S. 140,Classroom Connectivity,School Programs,sca_cp_programs_FY2015-19,0101000020E6100000BE88B663EA7E52C0F2D24D62105C4440
Manhattan,M140,,,,,,,,,DSF0000799775,"51,547",1,P.S. 140,State of Good Repair - Building Upgrade - Lighting Fixtures,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000BE88B663EA7E52C0F2D24D62105C4440
Manhattan,M142,,,,,,,,,DSF0000809493,"3,041,501",1,P.S. 142,State of Good Repair - System Replacements - Paved Area - Blacktop,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000D61EF642017F52C04E8061F9F35B4440
Manhattan,M142,,,,,,,,,DSF0000799587,"129,878",1,P.S. 142,State of Good Repair - Building Upgrade - Lighting Fixtures,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000D61EF642017F52C04E8061F9F35B4440
Manhattan,M137,,,,,,,,,DSF0000786134,"31,680",1,P.S. 137,State of Good Repair - System Replacements - Heating Plant Upgrade,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E610000059880E81237F52C03140A209145B4440
Manhattan,M137,,,,,,,,,DSF0000799815,"242,204",1,P.S. 137,State of Good Repair - System Replacements - Heating Plant Upgrade,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E610000059880E81237F52C03140A209145B4440
Manhattan,M137,,,,,,,,,DSF0000786136,"466,988",1,P.S. 137,State of Good Repair - System Replacements - Toilets - Students,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E610000059880E81237F52C03140A209145B4440
Manhattan,M137,,,,,,,,,DSF0000853493,"85,891",1,P.S. 137,State of Good Repair - Building Upgrade - Climate Control,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E610000059880E81237F52C03140A209145B4440
Manhattan,M137,,,,,,,,,DSF0000809459,"101,351",1,P.S. 137,State of Good Repair - System Replacements - Toilets - Students,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E610000059880E81237F52C03140A209145B4440
Manhattan,M188,,,,,,,,,DSF0000843783,"233,060",1,P.S. 188,Classroom Connectivity,School Programs,sca_cp_programs_FY2015-19,0101000020E61000002AA8A8FA957E52C02D228AC91B5C4440
Manhattan,M188,,,,,,,,,DSF0000777498,"151,989",1,P.S. 188,Safety and Security - Safety and Security - Emergency Lighting and Fire Safety Retrofits,Safety and Security ,sca_cp_programs_FY2015-19,0101000020E61000002AA8A8FA957E52C02D228AC91B5C4440
Manhattan,M188,,,,,,,,,DSF0000799593,"150,705",1,P.S. 188,State of Good Repair - Building Upgrade - Lighting Fixtures,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000002AA8A8FA957E52C02D228AC91B5C4440
Manhattan,M188,,,,,,,,,DSF0000809940,"165,158",1,P.S. 188,State of Good Repair - System Replacements - Toilets - Students,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000002AA8A8FA957E52C02D228AC91B5C4440
Manhattan,M056,,,,,,,,,DSF0000785220,"2,029,729",1,J.H.S. 56,State of Good Repair - Building Upgrade - Lighting Fixtures,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E610000084B70721207F52C0D8D64FFF595B4440
Manhattan,M056,,,,,,,,,DSF0000868082,"475,000",1,J.H.S. 56,IP Surveillance Camera Installation,School Programs,sca_cp_programs_FY2015-19,0101000020E610000084B70721207F52C0D8D64FFF595B4440
Manhattan,M056,,,,,,,,,DSF0000822689,"2,797,659",1,J.H.S. 56,Educational Enhancements - Educational Enhancements - Room Conversions / Partitioning,Educational Enhancements ,sca_cp_programs_FY2015-19,0101000020E610000084B70721207F52C0D8D64FFF595B4440
Manhattan,M061,,,,,,,,,DSF0000843975,"125,553",1,P.S. 61,State of Good Repair - System Replacements - Exterior Masonry,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E610000061545227A07E52C09082A7902B5D4440
Manhattan,M061,,,,,,,,,DSF0000775645,"735,517",1,P.S. 61,State of Good Repair - System Replacements - Domestic Piping,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E610000061545227A07E52C09082A7902B5D4440
Manhattan,M061,,,,,,,,,DSF0000866875,"3,000",1,P.S. 61,State of Good Repair - System Replacements - Electrical Systems,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E610000061545227A07E52C09082A7902B5D4440
Manhattan,M061,,,,,,,,,DSF0000808659,"101,351",1,P.S. 61,State of Good Repair - System Replacements - Toilets - Students,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E610000061545227A07E52C09082A7902B5D4440
Manhattan,M061,,,,,,,,,DSF0000762665,"1,870,009",1,P.S. 61,State of Good Repair - Building Upgrade - Low-Voltage Electrical System,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E610000061545227A07E52C09082A7902B5D4440
Manhattan,M061,,,,,,,,,DSF0000785297,"758,977",1,P.S. 61,State of Good Repair - System Replacements - Electrical Systems,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E610000061545227A07E52C09082A7902B5D4440
Manhattan,M061,,,,,,,,,DSF0000785290,"1,065,915",1,P.S. 61,State of Good Repair - Building Upgrade - Lighting Fixtures,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E610000061545227A07E52C09082A7902B5D4440
Manhattan,M025,,,,,,,,,DSF0000822234,"1,043,132",1,J.H.S. 25,Miscellaneous,School Programs,sca_cp_programs_FY2015-19,0101000020E6100000D21DC4CE147F52C03B8F8AFF3B5C4440
Brooklyn,K243,,,,,,,,,DSF0000894741,4206386,16,P.S. 243,State of Good Repair - System Replacements - Roofs,State of Good Repair ,sca_cp_programs_FY2020-24,0101000020E61000009ED0EB4FE27B52C0CB82893F8A564440
Manhattan,M025,,,,,,,,,DSF0000822662,"144,786",1,J.H.S. 25,State of Good Repair - System Replacements - Heating Plant Upgrade,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000D21DC4CE147F52C03B8F8AFF3B5C4440
Manhattan,M025,,,,,,,,,DSF0000866865,"3,000",1,J.H.S. 25,State of Good Repair - System Replacements - Electrical Systems,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000D21DC4CE147F52C03B8F8AFF3B5C4440
Manhattan,M025,,,,,,,,,DSF0000808252,"1,762,794",1,J.H.S. 25,State of Good Repair - Building Upgrade - Lighting Fixtures,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000D21DC4CE147F52C03B8F8AFF3B5C4440
Manhattan,M025,,,,,,,,,DSF0000808257,"290,110",1,J.H.S. 25,State of Good Repair - System Replacements - Heating Plant Upgrade,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000D21DC4CE147F52C03B8F8AFF3B5C4440
Manhattan,M025,,,,,,,,,DSF0000843786,"146,146",1,J.H.S. 25,Classroom Connectivity,School Programs,sca_cp_programs_FY2015-19,0101000020E6100000D21DC4CE147F52C03B8F8AFF3B5C4440
Manhattan,M446,,,,,,,,,DSF0000786964,"92,520",78M,UNIVERSITY NEIGHBORHOOD,State of Good Repair - System Replacements - Toilets - Students,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000A680B4FF017F52C0FF59F3E32F5B4440
Manhattan,M446,,,,,,,,,DSF0000741361,"2,489,507",78M,UNIVERSITY NEIGHBORHOOD,State of Good Repair - Building Upgrade - Low-Voltage Electrical System,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000A680B4FF017F52C0FF59F3E32F5B4440
Manhattan,M446,,,,,,,,,DSF0000786971,"1,973,725",78M,UNIVERSITY NEIGHBORHOOD,"State of Good Repair - System Replacements - Heating Plant Upgrade
Ventilation",State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000A680B4FF017F52C0FF59F3E32F5B4440
Manhattan,M060,,,,,,,,,DSF0000762652,"5,189,317",1,J.H.S. 60,State of Good Repair - System Replacements - Exterior Masonry,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000005DE15D2EE27E52C0BB421F2C635D4440
Manhattan,M060,,,,,,,,,DSF0000785275,"1,368,447",1,J.H.S. 60,State of Good Repair - Building Upgrade - Flood Elimination,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000005DE15D2EE27E52C0BB421F2C635D4440
Manhattan,M060,,,,,,,,,DSF0000808643,"101,351",1,J.H.S. 60,State of Good Repair - System Replacements - Toilets - Students,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000005DE15D2EE27E52C0BB421F2C635D4440
Manhattan,M060,,,,,,,,,DSF0000785277,"735,582",1,J.H.S. 60,State of Good Repair - System Replacements - Parapets,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000005DE15D2EE27E52C0BB421F2C635D4440
Manhattan,M060,,,,,,,,,DSF0000866117,"77,690",1,J.H.S. 60,State of Good Repair - System Replacements - Heating Plant Upgrade,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000005DE15D2EE27E52C0BB421F2C635D4440
Manhattan,M060,,,,,,,,,DSF0000799353,"1,354,879",1,J.H.S. 60,State of Good Repair - System Replacements - Roofs,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E61000005DE15D2EE27E52C0BB421F2C635D4440
Manhattan,M510,,,,,,,,,DSF0000787219,"860,320",78M,FORSYTH HS (AUXSVC-OLD 91),State of Good Repair - Building Upgrade - Lighting Fixtures,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000D1CE6916687F52C05C5A0D897B5C4440
Manhattan,M510,,,,,,,,,DSF0000810542,"150,000",78M,FORSYTH HS (AUXSVC-OLD 91),State of Good Repair - System Replacements - Toilets - Students,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000D1CE6916687F52C05C5A0D897B5C4440
Manhattan,M510,,,,,,,,,DSF0000866202,"40,040",78M,FORSYTH HS (AUXSVC-OLD 91),Classroom Connectivity,School Programs,sca_cp_programs_FY2015-19,0101000020E6100000D1CE6916687F52C05C5A0D897B5C4440
Manhattan,M510,,,,,,,,,DSF0000821670,"457,777",78M,FORSYTH HS (AUXSVC-OLD 91),Educational Enhancements - Educational Enhancements - Room Conversions / Partitioning,Educational Enhancements ,sca_cp_programs_FY2015-19,0101000020E6100000D1CE6916687F52C05C5A0D897B5C4440
Manhattan,M510,,,,,,,,,DSF0000865813,"205,820",78M,FORSYTH HS (AUXSVC-OLD 91),State of Good Repair - System Replacements - Auditorium  Upgrade,State of Good Repair ,sca_cp_programs_FY2015-19,0101000020E6100000D1CE6916687F52C05C5A0D897B5C4440
