district,schoolname,project#,description,fyconstrstart,total,buildingid,geom,facuid,cd
78K,BOYS & GIRLS HS - Brooklyn,DSF0000754562,Educational Enhancements - Educational Enhancements - School Improvement and,2013,3178243,K455,0101000020E6100000F24975509F7B52C010310338E7564440,12390,303
78K,BOYS HS (OLD) - Brooklyn,DSF0000737968,Educational Enhancements - Educational Enhancements - School Improvement and,2013,515016,K458,0101000020E6100000BCC17C74AB7C52C079793A53A1574440,12390,303
78K,BOYS HS (OLD) - Brooklyn,DSF0000737974,Educational Enhancements - Educational Enhancements - Library Upgrades,2014,746673,K458,0101000020E6100000BCC17C74AB7C52C079793A53A1574440,12390,303
78K,BOYS HS (OLD) - Brooklyn,DSF0000777725,Educational Enhancements - Educational Enhancements - School Improvement and,2014,145006,K458,0101000020E6100000BCC17C74AB7C52C079793A53A1574440,12390,303
78K,BOYS HS (OLD) - Brooklyn,DSF0000798160,Educational Enhancements - Educational Enhancements - School Improvement and,2014,107500,K458,0101000020E6100000BCC17C74AB7C52C079793A53A1574440,12390,303
78X,BRONX HS OF SCIENCE - Bronx,DSF0000685846,State of Good Repair - System Replacements - Paved Area-Concrete,2010,248346,X445,0101000020E6100000BD014194037952C089A2BFC16D704440,12390,207
78X,BRONX HS OF SCIENCE - Bronx,DSF0000685845,State of Good Repair - System Replacements - Paved Area-Blacktop,2010,1243525,X445,0101000020E6100000BD014194037952C089A2BFC16D704440,12390,207
78M,GREGORIO LUPERON PREP. SCHOOL - Manhattan,DSF0000775932,State of Good Repair - System Replacements - Paved Area-Concrete,2013,37182,M876,0101000020E6100000FF65D39B117C52C0E2341D16506B4440,12390,112
78Q,GROVER CLEVELAND HS - Queens,DSF0000710120,State of Good Repair - System Replacements - Exterior Masonry,2011,1221839,Q485,0101000020E6100000173A33D0307A52C012B2A605155B4440,12390,405
78Q,GROVER CLEVELAND HS - Queens,DSF0000703528,State of Good Repair - System Replacements - Paved Area-Concrete,2011,6143223,Q485,0101000020E6100000173A33D0307A52C012B2A605155B4440,12390,405
78M,G. WASHINGTON HS EDUC. CAMPUS - Manhattan,DSF0000675272,Safety and Security - Safety and Security - Safety Systems,2011,809904,M465,0101000020E6100000515236B8467B52C022900A42846D4440,12390,112
78M,HARLEM RENAISSANCE HS (OLD M24) - Manhattan,DSF0000610443,State of Good Repair - System Replacements - Auditorium Upgrade,2010,620148,M911,0101000020E6100000FA96B93A287C52C017B9591264674440,12390,111
78X,HARRY S. TRUMAN HS - Bronx,DSF0000752889,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2014,4513947,X455,0101000020E6100000D4317667447552C03291C978E26F4440,12390,210
