district,schoolname,project#,description,fyconstrstart,total,buildingid,geom,facuid,cd
78X,HARRY S. TRUMAN HS - Bronx,DSF0000751503,Safety and Security - Safety and Security - Safety Systems,2014,1307588,X455,0101000020E6100000D4317667447552C03291C978E26F4440,12390,210
78K,HARRY VANARSDALE VOC HS(WHITNEY) - Brooklyn,DSF0000687152,Educational Enhancements - Educational Enhancements - School Improvement and,2010,1560477,K650,0101000020E6100000A66E60B11C7D52C08B56E16F965B4440,12390,301
30,I.S. 10 - Queens,DSF0000408533,State of Good Repair - Building Upgrade - Flood Elimination,2010,1265245,Q010,0101000020E610000002BDA266647A52C089292B7C39614440,12390,401
11,I.S. 127 - Bronx,DSF0000752427,Accessibility,2013,109500,X127,0101000020E610000034A5A9DC9A7652C0AB19E434516B4440,12390,209
30,I.S. 227 - Queens,DSF0000724278,Auditorium Upgrade,2012,242282,Q227,0101000020E6100000E145FEFFFA7752C0B3AFBBFF03614440,12390,403
09,P.S. 58 - Bronx,DSF0000683049,Exterior Masonry,2010,4472192,X058,0101000020E61000005C64C18D877952C041B8C55B526C4440,12390,206
16,I.S. 324 - Brooklyn,DSF0000605001,State of Good Repair - System Replacements - Roofs,2010,2822082,K324,0101000020E6100000A54C1A02AC7B52C0ED68705B0E584440,12390,303
15,P.S. 15 - Brooklyn,DSF0000755596,Heating Plant Upgrade,2014,818216,M015,0101000020E6100000794825A2A37E52C0428ED291665C4440,12390,103
78M,PARK WEST HS (ECF) - Manhattan,DSF0000710960,Safety and Security - Safety and Security - Code Compliance,2013,6452706,M535,0101000020E610000035E94B0D907F52C02D98C08E01624440,12390,104
09,P.S. 110 - Bronx,DSF0000753054,Educational Enhancements - Educational Enhancements - Room,2013,432337,K110,0101000020E61000002E1862354A7C52C075CFF3CDA05C4440,12390,301
29,P.S. 118 - Queens,DSF0000753123,State of Good Repair - System Replacements - Domestic Piping,2013,492020,Q118,0101000020E6100000EDB2FC07FB7052C032CA808B065A4440,12390,412
24,P.S. 153 - Queens,DSF0000688166,Safety and Security - Safety and Security - Code Compliance,2013,7710714,K153,0101000020E6100000B6A20B0C717D52C0C623CB5FF34C4440,12390,315
14,P.S. 16 - Brooklyn,DSF0000666061,State of Good Repair - System Replacements - Cafeteria / Multipurpose Room Upgrade,2011,1986906,K016,0101000020E61000009CFFC9A2927D52C049B3949C5A5A4440,12390,301
14,P.S. 16 - Brooklyn,DSF0000752876,State of Good Repair - Building Upgrade - Low-Voltage Electrical Systems,2014,1104031,K016,0101000020E61000009CFFC9A2927D52C049B3949C5A5A4440,12390,301
28,P.S. 160 - Queens,DSF0000767520,State of Good Repair - System Replacements - Exterior Masonry,2014,1233702,X160,0101000020E610000057C24F8FBB7452C0202D9D6A9C6E4440,12390,210
28,P.S. 160 - Queens,DSF0000744563,State of Good Repair - Building Upgrade - Flood Elimination,2014,666209,X160,0101000020E610000057C24F8FBB7452C0202D9D6A9C6E4440,12390,210
29,P.S. 195 - Queens,DSF0000768035,Heating Plant Upgrade,2014,146000,Q195,0101000020E6100000AF4E7CF90C6F52C07F8B89BE8A534440,12390,413
22,P.S. 251 - Brooklyn,DSF0000759197,State of Good Repair - System Replacements - Heating Plant Upgrade,2013,146478,K251,0101000020E6100000BF66D7B7207B52C077EE12C6CE504440,12390,318
17,P.S. 289 - Brooklyn,DSF0000736900,State of Good Repair - System Replacements - Heating Plant Upgrade,2013,68027,K289,0101000020E6100000C6F40218507C52C05D8FA5544E564440,12390,308
13,P.S. 3 - Brooklyn,DSF0000710746,State of Good Repair - System Replacements - Roofs,2011,557994,K003,0101000020E610000006FC979E237D52C0A565055458574440,12390,303
26,P.S. 41 - Queens,DSF0000700142,State of Good Repair - Building Upgrade - Reinforcing Support Elements,2011,2850499,X041,0101000020E61000008819DC0B8B7752C0E4636E62F46F4440,12390,212
