Unnamed: 0,actualestcompletion,borough,buildingid,constrstart,designstart,district,forecastcapacity,fundingreqdfy15-19,neededtocomplete,previousappropriations,programcategory,project#,reason,schoolname,source,specialnotes,totalestcost,location,geom,facuid,cd
2,Sep 2010,Manhattan,,Jul 2010,Apr 2010,02,Replacement,60400000,8600000,0,,DSF0000710330,,I.S. 260,jects,* L,69000000,425 WEST 33RD STREET,0101000020E6100000819E9A98D77F52C0E98E1ED16D604440,12390,104
3,Aug 2014,Bronx,,Jul 2012,Aug 2011,10,Replacement,96000000,21700000,0,,DSF0000732170,,P.S. 51,jects,* L,117700000,695 EAST 182ND STREET,0101000020E6100000416C5DBCBD7852C06824E2F9E16C4440,12390,206
52,,Manhattan,M051,,,02,,,,,School Safety,,No Capital Work Required,P.S. 51,cts,,,695 EAST 182ND STREET,0101000020E6100000416C5DBCBD7852C06824E2F9E16C4440,12390,206
1924,,Bronx,X781,,,10,,,,,Classroom Connectivity,,,P.S. 51,,,,695 EAST 182ND STREET,0101000020E6100000416C5DBCBD7852C06824E2F9E16C4440,12390,206
4,Sep 2012,Queens,,Jun 2012,Mar 2012,29,Replacement,183000000,16900000,0,,DSF0000752868,,EAGLE ACADEMY,jects,* L,199900000,171-10 LINDEN BOULEVARD,0101000020E6100000B188B743D27152C03F7E6F5184584440,12390,412
7,Jan 2013,Brooklyn,,Jun 2010,Oct 2007,78K,Replacement,511600000,64200000,29700000,,DSF0000544842,,SCHOOL,jects,"ALL CITY LEADERSHIP SECONDARY
* L",605400000,,,12390,
11,Aug 2013,Bronx,,Aug 2011,Sep 2010,78X,Replacement,109400000,5300000,0,,DSF0000710107,,LAFAYETTE ACADEMIES ,jects,* L,114800000,,,12390,
5,Aug 2013,Queens,,Jan 2013,Jul 2012,29,Replacement,95500000,5200000,0,,DSF0000754449,,EAGLE ACADEMY,jects,* L,100700000,171-10 LINDEN BOULEVARD,0101000020E6100000B188B743D27152C03F7E6F5184584440,12390,412
4216,,Queens,Q633,,,29,,,,,Classroom Connectivity,,,EAGLE ACADEMY,,,,171-10 LINDEN BOULEVARD,0101000020E6100000B188B743D27152C03F7E6F5184584440,12390,412
6,Jul 2013,Queens,,Feb 2013,Sep 2012,30,Replacement,63000000,400000,0,,DSF0000754388,,ADULT BASIC EDUCATION,jects,* L,63400000,27-35 JACKSON AVENUE,0101000020E6100000572729DC2D7C52C04214ADB3C65F4440,12390,402
8,Jun 2011,Manhattan,,Jun 2010,Jun 2009,78M,Replacement,292600000,0,1500000,,DSF0000622556,,BROADWAY EDUCATION CAMPUS,jects,* L,294200000,26 BROADWAY,0101000020E610000038409624D38052C09091B3D74B5A4440,12390,101
5125,,Manhattan,M282,,,78M,,,,,Classroom Connectivity,,,BROADWAY EDUCATION CAMPUS,,,,26 BROADWAY,0101000020E610000038409624D38052C09091B3D74B5A4440,12390,101
9,Aug 2015,Manhattan,,Jun 2012,Feb 2011,78M,Replacement,1458900000,214400000,0,,DSF0000710361,,BEACON HIGH SCHOOL,jects,*,1673300000,521 WEST 43RD STREET,0101000020E610000097C047C1C07F52C0A882A8DB6E614440,12390,104
10,Sep 2012,Queens,,Jun 2010,Nov 2009,78Q,Replacement,681500000,23800000,130600000,,DSF0000622665,,MIDDLE COLLEGE CAMPUS,jects,*,836100000,45-35 VAN DAM STREET,0101000020E61000004D8CF9D4BB7B52C097A1CBE1235F4440,12390,402
498,,Brooklyn,K298,,,23,,,,,Roofs,,,P.S. 298,ed To FY2009,,,50-51 98TH STREET,0101000020E6100000E2D5A14F437752C0C3E07026DC5E4440,12390,404
499,,Brooklyn,K298,,,23,,,,,Windows,,,P.S. 298,ed To FY2009,,,50-51 98TH STREET,0101000020E6100000E2D5A14F437752C0C3E07026DC5E4440,12390,404
500,,Brooklyn,K298,,,23,,,,,Exterior Masonry,,,P.S. 298,ed To FY2009,,,50-51 98TH STREET,0101000020E6100000E2D5A14F437752C0C3E07026DC5E4440,12390,404
3451,,Brooklyn,K298,,,23,,,,,Classroom Connectivity,,,P.S. 298,,,,50-51 98TH STREET,0101000020E6100000E2D5A14F437752C0C3E07026DC5E4440,12390,404
3452,,Brooklyn,K298,,,23,,,,,Emergency Stabilization,,,P.S. 298,,,,50-51 98TH STREET,0101000020E6100000E2D5A14F437752C0C3E07026DC5E4440,12390,404
3454,,Brooklyn,K298,,,23,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 298,,,,50-51 98TH STREET,0101000020E6100000E2D5A14F437752C0C3E07026DC5E4440,12390,404
31,,Queens,Q048,,,28,,,,,School Safety,,Alternate Project Prioritized,P.S. 48,cts,,,,0101000020E6100000C7443F1A027352C0FE9C89E5D8584440,12390,412
3677,,Queens,Q185,,,25,,,,,Safety Systems,,,J.H.S. 185,,,,,0101000020E6100000A5D6C4FF607452C00A2CD28C30634440,12390,407
3678,,Queens,Q185,,,25,,,,,Windows,,,J.H.S. 185,,,,,0101000020E6100000A5D6C4FF607452C00A2CD28C30634440,12390,407
3679,,Queens,Q189,,,25,,,,,Boiler Conversion,,,J.H.S. 189,,,,,0101000020E6100000183039A35E7452C014BDF2364A614440,12390,407
3680,,Queens,Q189,,,25,,,,,Classroom Connectivity,,,J.H.S. 189,,,,,0101000020E6100000183039A35E7452C014BDF2364A614440,12390,407
3681,,Queens,Q189,,,25,,,,,Classroom Connectivity,,,J.H.S. 189,,,,,0101000020E6100000183039A35E7452C014BDF2364A614440,12390,407
3682,,Queens,Q189,,,25,,,,,Kitchen Areas,,,J.H.S. 189,,,,,0101000020E6100000183039A35E7452C014BDF2364A614440,12390,407
96,,Brooklyn,K940,,,20,,,,,Technology,,No Capital Work Required,I.S. 30,cts,,,,0101000020E6100000D43C51EA7C8152C0898640B214514440,12390,310
3609,,Queens,Q024,,,25,,,,,Classroom Connectivity,,,P.S. 24,,,,,0101000020E61000009929BD97597452C07BEC286C3D604440,12390,407
3610,,Queens,Q024,,,25,,,,,Electrical Systems,,,P.S. 24,,,,,0101000020E61000009929BD97597452C07BEC286C3D604440,12390,407
3611,,Queens,Q024,,,25,,,,,Exterior Masonry,,,P.S. 24,,,,,0101000020E61000009929BD97597452C07BEC286C3D604440,12390,407
3612,,Queens,Q024,,,25,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 24,,,,,0101000020E61000009929BD97597452C07BEC286C3D604440,12390,407
3613,,Queens,Q024,,,25,,,,,Parapets,,,P.S. 24,,,,,0101000020E61000009929BD97597452C07BEC286C3D604440,12390,407
3614,,Queens,Q025,,,25,,,,,Air Conditioning Retrofit,,,J.H.S. 25,,,,,0101000020E61000009704467A8A7252C08136461AEB614440,12390,411
3615,,Queens,Q025,,,25,,,,,Boiler Conversion,,,J.H.S. 25,,,,,0101000020E61000009704467A8A7252C08136461AEB614440,12390,411
3616,,Queens,Q025,,,25,,,,,Classroom Connectivity,,,J.H.S. 25,,,,,0101000020E61000009704467A8A7252C08136461AEB614440,12390,411
3617,,Queens,Q025,,,25,,,,,Classroom Connectivity,,,J.H.S. 25,,,,,0101000020E61000009704467A8A7252C08136461AEB614440,12390,411
3618,,Queens,Q025,,,25,,,,,Elevators and Escalators,,,J.H.S. 25,,,,,0101000020E61000009704467A8A7252C08136461AEB614440,12390,411
3619,,Queens,Q025,,,25,,,,,Exterior Masonry,,,J.H.S. 25,,,,,0101000020E61000009704467A8A7252C08136461AEB614440,12390,411
