Unnamed: 0,actualestcompletion,borough,buildingid,constrstart,designstart,district,forecastcapacity,fundingreqdfy15-19,neededtocomplete,previousappropriations,programcategory,project#,reason,schoolname,source,specialnotes,totalestcost,location,geom,facuid,cd
3620,,Queens,Q025,,,25,,,,,IP Digital Video Surveillance,,,J.H.S. 25,,,,,0101000020E61000009704467A8A7252C08136461AEB614440,12390,411
3621,,Queens,Q025,,,25,,,,,Parapets,,,J.H.S. 25,,,,,0101000020E61000009704467A8A7252C08136461AEB614440,12390,411
3622,,Queens,Q025,,,25,,,,,Roofs,,,J.H.S. 25,,,,,0101000020E61000009704467A8A7252C08136461AEB614440,12390,411
3623,,Queens,Q029,,,25,,,,,Classroom Connectivity,,,P.S. 29 ADDITION,,,,125-10 23 AVENUE,0101000020E6100000954B553DF37552C06F39DC7A9A634440,12390,407
3624,,Queens,Q029,,,25,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 29 ADDITION,,,,125-10 23 AVENUE,0101000020E6100000954B553DF37552C06F39DC7A9A634440,12390,407
3625,,Queens,Q029,,,25,,,,,Room Conversions/Partitioning,,,P.S. 29,,,,,0101000020E6100000954B553DF37552C06F39DC7A9A634440,12390,407
3626,,Queens,Q032,,,25,,,,,Classroom Connectivity,,,P.S. 32,,,,,0101000020E61000004DE90F35D67252C0184E3793F2614440,12390,407
3627,,Queens,Q032,,,25,,,,,Lighting Fixtures,,,P.S. 32,,,,,0101000020E61000004DE90F35D67252C0184E3793F2614440,12390,407
3628,,Queens,Q032,,,25,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 32,,,,,0101000020E61000004DE90F35D67252C0184E3793F2614440,12390,407
3629,,Queens,Q079,,,25,,,,,Classroom Connectivity,,,P.S. 79,,,,,0101000020E6100000BD313887527452C0FC3984DBA2644440,12390,407
3630,,Queens,Q079,,,25,,,,,Domestic Piping,,,P.S. 79,,,,,0101000020E6100000BD313887527452C0FC3984DBA2644440,12390,407
3631,,Queens,Q079,,,25,,,,,Exterior Masonry,,,P.S. 79,,,,,0101000020E6100000BD313887527452C0FC3984DBA2644440,12390,407
3632,,Queens,Q079,,,25,,,,,Parapets,,,P.S. 79,,,,,0101000020E6100000BD313887527452C0FC3984DBA2644440,12390,407
3633,,Queens,Q079,,,25,,,,,Roofs,,,P.S. 79,,,,,0101000020E6100000BD313887527452C0FC3984DBA2644440,12390,407
3634,,Queens,Q079,,,25,,,,,Windows,,,P.S. 79,,,,,0101000020E6100000BD313887527452C0FC3984DBA2644440,12390,407
3635,,Queens,Q107,,,25,,,,,Boiler Conversion,,,P.S. 107,,,,,0101000020E6100000A4AE215C297352C0463DB298B4604440,12390,407
3636,,Queens,Q107,,,25,,,,,Classroom Connectivity,,,P.S. 107,,,,,0101000020E6100000A4AE215C297352C0463DB298B4604440,12390,407
3683,,Queens,Q189,,,25,,,,,Lighting Fixtures,,,J.H.S. 189,,,,,0101000020E6100000183039A35E7452C014BDF2364A614440,12390,407
3684,,Queens,Q189,,,25,,,,,Low-Voltage Electrical Systems,,,J.H.S. 189,,,,,0101000020E6100000183039A35E7452C014BDF2364A614440,12390,407
3685,,Queens,Q189,,,25,,,,,New/Retrofit Telephone/Intercom System,,,J.H.S. 189,,,,,0101000020E6100000183039A35E7452C014BDF2364A614440,12390,407
147,,Bronx,X897,,,78X,,,,,Low-Voltage Electrical Systems,,No Capital Work Required,OFFSITE ED. SERV. (0LD 124),cts,,,,0101000020E6100000755A2F34E77952C0F221561804694440,12390,201
136,,Manhattan,M630,,,78M,,,,,Technology,,No Capital Work Required,ART & DESIGN VOC HS (TNDEM M059),cts,,,,,12390,
142,,Technology,Q739 YOUNG WOMEN'S LEADERSHIP ACADEMY,,,78Q,,,,,No Capital Work Required,,,Q,cts,,,,,12390,
179,,Bronx,X421,,,78X,,,,,Athletic Fields,,Reclassified,MONROE AF,cts,,,,,12390,
164,,Queens,Q777,,,24,,,,,Low-Voltage Electrical Systems,,Reclassified,P.S. 199 ANNEX (@ ST. TERESA'S),cts,,,50-15 44TH STREET,0101000020E6100000EB78439CFE7A52C02BD798665A5E4440,12390,402
167,,Queens,Q816,,,75Q,,,,,Low-Voltage Electrical Systems,,Reclassified,P.S. 256 ANNEX,cts,,,,0101000020E6100000D5E03AC3B07652C09D2B17FADB494440,12390,414
168,,Queens,Q816,,,75Q,,,,,Cafeteria / Multipurpose Room Upgrade,,Reclassified,P.S. 256 ANNEX,cts,,,,0101000020E6100000D5E03AC3B07652C09D2B17FADB494440,12390,414
189,,Staten Island,R080,,,31,,,,,Room Conversions/Partitioning,,School Management Directive,REGION 7/ ROC F,cts,,,,0101000020E6100000D7F1859A858652C04D662CF0DE4D4440,12390,502
3637,,Queens,Q107,,,25,,,,,Elevators And Escalators,,,P.S. 107,,,,,0101000020E6100000A4AE215C297352C0463DB298B4604440,12390,407
3638,,Queens,Q107,,,25,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 107,,,,,0101000020E6100000A4AE215C297352C0463DB298B4604440,12390,407
3639,,Queens,Q120,,,25,,,,,Classroom Connectivity,,,P.S. 120,,,,,0101000020E6100000F1C130C00C7552C0604677CE615F4440,12390,407
3640,,Queens,Q120,,,25,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 120,,,,,0101000020E6100000F1C130C00C7552C0604677CE615F4440,12390,407
3641,,Queens,Q129,,,25,,,,,Classroom Connectivity,,,P.S. 129,,,,,0101000020E61000006BC6CF4EBC7552C09ACC25C221654440,12390,407
3642,,Queens,Q129,,,25,,,,,IP Digital Video Surveillance,,,P.S. 129,,,,,0101000020E61000006BC6CF4EBC7552C09ACC25C221654440,12390,407
3643,,Queens,Q129,,,25,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 129,,,,,0101000020E61000006BC6CF4EBC7552C09ACC25C221654440,12390,407
3644,,Queens,Q130,,,25,,,,,Classroom Connectivity,,,P.S. 130,,,,,0101000020E61000003B4663B12C7252C0031E347146614440,12390,411
3645,,Queens,Q130,,,25,,,,,New/Retrofit Telephone/Intercom System,,,P.S. 130,,,,,0101000020E61000003B4663B12C7252C0031E347146614440,12390,411
3646,,Queens,Q154,,,25,,,,,Classroom Connectivity,,,P.S. 154,,,,,0101000020E61000008F638166AD7352C0671C4F0E005D4440,12390,408
3686,,Queens,Q189,,,25,,,,,Walk-In Freezer Replacements,,,J.H.S. 189,,,,,0101000020E6100000183039A35E7452C014BDF2364A614440,12390,407
3687,,Queens,Q193,,,25,,,,,Classroom Connectivity,,,P.S. 193,,,,,0101000020E610000063D2BAC7CE7352C07AB8751B64654440,12390,407
3688,,Queens,Q193,,,25,,,,,IP Digital Video Surveillance,,,P.S. 193,,,,,0101000020E610000063D2BAC7CE7352C07AB8751B64654440,12390,407
3689,,Queens,Q193,,,25,,,,,Low-Voltage Electrical Systems,,,P.S. 193,,,,,0101000020E610000063D2BAC7CE7352C07AB8751B64654440,12390,407
3690,,Queens,Q194,,,25,,,,,Classroom Connectivity,,,J.H.S. 194,,,,,0101000020E6100000200A71C29D7352C0CC50067241644440,12390,407
3691,,Queens,Q194,,,25,,,,,Lighting Fixtures,,,J.H.S. 194,,,,,0101000020E6100000200A71C29D7352C0CC50067241644440,12390,407
3692,,Queens,Q194,,,25,,,,,Walk-In Freezer Replacements,,,J.H.S. 194,,,,,0101000020E6100000200A71C29D7352C0CC50067241644440,12390,407
3693,,Queens,Q200,,,25,,,,,Classroom Connectivity,,,P.S. 200,,,,,0101000020E61000005A60ADD38D7352C06F8998F1965D4440,12390,408
3694,,Queens,Q200,,,25,,,,,Kitchen Areas,,,P.S. 200,,,,,0101000020E61000005A60ADD38D7352C06F8998F1965D4440,12390,408
3695,,Queens,Q200,,,25,,,,,Lighting Fixtures,,,P.S. 200,,,,,0101000020E61000005A60ADD38D7352C06F8998F1965D4440,12390,408
215,Mar 2014,Bronx,,Jun 2010,Apr 2009,10,640,614400000,89400000,80200000,,DSF0000418128,,THE NORWOOD EAST CAMPUS,ts,*,784000000,3177 WEBSTER AVENUE,0101000020E6100000F3B3169A117852C02292B322A86F4440,12390,207
216,Sep 2015,Bronx,,Jul 2013,May 2012,11,408,479200000,120900000,600000,,DSF0000752490,,P.S. 96 ADDITION,ts,*,600700000,2385 OLINVILLE AVENUE,0101000020E6100000CA1D90D29E7752C02E88D4D7346E4440,12390,211
217,Aug 2013,Bronx,,Apr 2010,Jun 2009,11,379,441100000,24100000,36400000,,DSF0000688281,,THE DOMINIC CASTORE EDUCATIONAL COMPLEX,ts,*,501700000,800 LYDIG AVE,0101000020E6100000309EAB99437752C0BFFA80C5576D4440,12390,211
218,Sep 2015,Bronx,,Jan 2014,Sep 2012,11,284,112800000,118200000,0,,DSF0000752873,,P.S. 311,ts,*L,231000000,1684 WHITE PLAINS ROAD,0101000020E6100000AD0F38245E7752C006D44BFBF86B4440,12390,211
219,Aug 2014,Brooklyn,,Jun 2012,Apr 2010,15,332,179800000,21100000,0,,DSF0000687095,,P.S. 516 SUNSET PARK AVENUES ELEMENTARY SCHOOL,ts,*L,200900000,4222 4TH AVENUE,0101000020E61000001391F03F8D8052C04547B2224B534440,12390,307
220,Sep 2015,Brooklyn,,Jul 2012,Feb 2011,15,757,903700000,332600000,1400000,,DSF0000730968,,PARKSIDE COMMUNITY COMPLEX,ts,*,1237700000,713 CATON AVENUE,0101000020E6100000AA8B533C487E52C0757538ACF0524440,12390,307
221,Sep 2013,Brooklyn,,Jun 2013,Dec 2012,15,256,40900000,6700000,0,,DSF0000775561,,P.S. 118 MAURICE SENDAK COMMUNITY SCHOOL,ts,*L,47600000,211 8TH STREET,0101000020E6100000458516DC367F52C064DB69B5E3554440,12390,306
208,Sep 2012,Manhattan,,Nov 2010,May 2009,02,374,0,0,0,,DSF0000687090,,P.S. 59 (MEETH),ts,*,0,213 EAST 63 STREET,0101000020E6100000406A392FB07D52C04E65685FC7614440,12390,108
209,Sep 2013,Manhattan,,Jul 2010,Apr 2009,02,640,716000000,19600000,333600000,,DSF0000687092,,P.S. 281,ts,*,1069200000,425 EAST 35 STREET,0101000020E61000005EBB70D33B7E52C09FD682C54A5F4440,12390,106
210,Sep 2014,Manhattan,,Jul 2012,Jun 2010,02,518,566200000,26000000,632800000,,DSF0000687091,,THE SIXTH AVENUE EDUCATIONAL CAMPUS,ts,*,1225000000,590 SIXTH AVENUE,0101000020E6100000F9AE0908B17F52C0C7C692F6935E4440,12390,105
211,Jun 2012,Manhattan,,Jan 2012,Jun 2011,02,126,31400000,1800000,0,,DSF0000709406,,P.S. 527 - EAST SIDE SCHOOL FOR SOCIAL ACTION,ts,*L,33200000,323 EAST 91 STREET,0101000020E610000023512DCCA97C52C0F848C978EC634440,12390,108
213,Aug 2013,Bronx,,Jun 2010,May 2009,09,391,517500000,9600000,1800000,,DSF0000417427,,HIGHBRIDGE ENVIRONMENTAL EDUCATION CAMPUS,ts,*,528900000,200 WEST 167 STREET,0101000020E6100000C6F0152E667B52C0CFC9F837496B4440,12390,204
214,May 2016,Bronx,,Mar 2014,Oct 2012,10,428,554900000,167200000,0,,DSF0000752872,,P.S. 56 ADDITION,ts,*,722100000,341 EAST 207 STREET,0101000020E6100000473514ADFF7752C00C7E80730B704440,12390,207
222,Aug 2012,Brooklyn,,Jun 2010,Jan 2009,20,367,383900000,1400000,49100000,,DSF0000687106,,PS 310 THE SCHOOL FOR FUTURE LEADERS,ts,*,434400000,942 62 STREET,0101000020E6100000ADEF0D9D7B8052C0525B7D37EA504440,12390,310
223,Jun 2013,Brooklyn,,Jul 2010,Mar 2009,20,708,681600000,35500000,131500000,,DSF0000417409,,P.S./I.S. 30 MARY WHITE OVINGTON,ts,*,848600000,7002 4TH AVENUE,0101000020E61000002AD4189B8F8152C05A0FCFC118514440,12390,310
224,Jul 2015,Brooklyn,,Oct 2013,Nov 2012,20,256,138400000,41600000,0,,DSF0000775562,,LEFFERTS PARK ANNEX,ts,*L,180000000,7301 15TH AVENUE,0101000020E6100000CB6D09C01A8052C065D9AECA284F4440,12390,311
225,May 2017,Brooklyn,,Jun 2014,May 2010,22,757,821400000,212100000,2000000,,DSF0000425868,,P.S./I.S. 338,ts,*,1035500000,21 HINCKLEY PLACE,0101000020E610000062ADF8FB0E7C52C018A52422F34C4440,12390,315
226,Sep 2013,Queens,,Apr 2012,Sep 2010,24,140,311600000,43900000,1300000,,DSF0000417389,,P.S. 87 ADDITION,ts,*,356700000,67-54 80 STREET,0101000020E610000070112293CB7752C0F169B2F5145B4440,12390,405
202,,Staten Island,R844,,,31,,,,,Flood Elimination,,Work Previously Completed,P.S. 36 ANNEX,cts,,,,0101000020E61000008189B68AA18B52C0640CC69BB4454440,12390,503
228,Aug 2014,Queens,,Dec 2011,Mar 2010,24,616,724900000,74300000,0,,DSF0000710030,,THE GERALDINE FERRARO CAMPUS,ts,*,799200000,55-20 METROPOLITAN AVENUE,0101000020E610000042E22F0D217A52C00248D0FD375B4440,12390,405
229,Sep 2017,Queens,,Jun 2014,Mar 2010,24,796,876900000,251400000,0,,DSF0000687098,,P.S. 298,ts,*,1128300000,50-51 98TH STREET,0101000020E6100000E2D5A14F437752C0C3E07026DC5E4440,12390,404
231,Aug 2014,Queens,,Jun 2012,Sep 2010,24,432,598300000,88700000,0,,DSF0000710983,,THE WALTER MCCAFFREY CAMPUS,ts,*,686900000,45-45 42ND STREET,0101000020E6100000339C9E88067B52C0B0932821F95E4440,12390,402
233,Sep 2015,Queens,,Jul 2013,Apr 2012,24,472,579800000,157900000,0,,DSF0000752883,,THE RIDGEWOOD SCHOOL,ts,*,737700000,360 SENECA AVENUE,0101000020E61000007AA305219A7A52C009185D94865A4440,12390,405
612,,Brooklyn,K853,,,75K,,,,,Low-Voltage Electrical Systems,,,P.S. 93 AX (ECF-BD STUY ECC2),ed To FY2009,,,,0101000020E6100000834635EC827C52C086AC8BC5F6564440,12390,303
655,,Brooklyn,K656,,,78K,,,,,Elevators and Escalators,,,BKLYN HS OF THE ARTS AX (S J HL),ed To FY2009,,,,0101000020E6100000F7AD9F6BC37E52C09C613DCD9D574440,12390,302
18,,Bronx,X166,,,09,,,,,Elevators and Escalators,,Alternate Project Prioritized,I.S. 166,cts,,,,0101000020E6100000F69FBA4EBA7A52C065C076BDFF694440,12390,204
19,,Bronx,X115,,,10,,,,,HVAC System,,Alternate Project Prioritized,I.S. 399 (OLD X HS/115),cts,,,,0101000020E6100000A77BD8CDA17952C093A9D969036E4440,12390,205
20,,Bronx,X115,,,10,,,,,Air Conditioning Retrofit,,Alternate Project Prioritized,I.S. 399 (OLD X HS/115),cts,,,,0101000020E6100000A77BD8CDA17952C093A9D969036E4440,12390,205
21,,Bronx,X129,,,12,,,,,Boiler Conversion,,Alternate Project Prioritized,I.S. 129 (PAIRED W P234),cts,,,,0101000020E610000052E8C61CC07852C0A75A3824476C4440,12390,206
22,,Bronx,X129,,,12,,,,,Climate Control,,Alternate Project Prioritized,I.S. 129 (PAIRED W P234),cts,,,,0101000020E610000052E8C61CC07852C0A75A3824476C4440,12390,206
23,,Brooklyn,K044,,,13,,,,,Boiler Conversion,,Alternate Project Prioritized,P.S. 44,cts,,,,0101000020E6100000BE5C155A387C52C0DAF96584D6574440,12390,303
24,,Brooklyn,K044,,,13,,,,,Climate Control,,Alternate Project Prioritized,P.S. 44,cts,,,,0101000020E6100000BE5C155A387C52C0DAF96584D6574440,12390,303
25,,Brooklyn,K067,,,13,,,,,Accessibility,,Alternate Project Prioritized,P.S. 67,cts,,,,0101000020E6100000A66F9C8D947E52C05AB39A9CFD584440,12390,302
26,,Brooklyn,K071,,,14,,,,,Boiler Conversion,,Alternate Project Prioritized,I.S. 71,cts,,,,0101000020E61000000FBEC9C2057D52C0DE9F1CA3185A4440,12390,301
27,,Brooklyn,K071,,,14,,,,,Climate Control,,Alternate Project Prioritized,I.S. 71,cts,,,,0101000020E61000000FBEC9C2057D52C0DE9F1CA3185A4440,12390,301
28,,Brooklyn,K088,,,15,,,,,HVAC,,Alternate Project Prioritized,I.S. 88,cts,,,,0101000020E6100000ECB57713407F52C0871A45248B544440,12390,307
29,,Brooklyn,K073,,,23,,,,,Accessibility,,Alternate Project Prioritized,P.S. 73,cts,,,,0101000020E6100000A528F30B497A52C0991BC9211E574440,12390,316
30,,Queens,Q074,,,26,,,,,Elevators and Escalators,,Alternate Project Prioritized,I.S. 74,cts,,,,0101000020E6100000271E7EB8137152C071564FB95E5F4440,12390,411
32,,Queens,Q080,,,28,,,,,Flood Elimination,,Alternate Project Prioritized,P.S. 80,cts,,,,0101000020E6100000E48F47A23A7152C03FFE552230564440,12390,412
33,,Queens,Q136,,,29,,,,,Flood Elimination,,Alternate Project Prioritized,P.S. 136,cts,,,,0101000020E6100000A14467932A7052C081D27BD96F594440,12390,412
34,,Queens,Q208,,,29,,,,,Fencing,,Alternate Project Prioritized,P.S./I.S. 208,cts,,,,0101000020E6100000DDCFB4AC8D6E52C024C0C349435F4440,12390,413
238,Sep 2016,Queens,,Jun 2014,Nov 2012,28,396,611700000,721900000,0,,DSF0000752886,,P.S. 50 ADDITION,ts,*,1333600000,143-26 101 AVENUE,0101000020E6100000B386F1CBA37352C00B03F16CF6584440,12390,412
239,Sep 2015,Queens,,Jun 2012,Sep 2010,28,833,826500000,252400000,1800000,,DSF0000417395,,P.S./ I.S. 314,ts,*,1080700000,88-08 164 STREET,0101000020E61000004365C174187352C088C41450AF5A4440,12390,412
240,Sep 2015,Queens,,Mar 2013,May 2012,29,352,486400000,164600000,0,,DSF0000752431,,P.S. 35 ADDITION,ts,*,651000000,191-02 90TH AVENUE,0101000020E6100000CF50ACEE347152C0DD40E1F6555B4440,12390,412
241,Sep 2016,Queens,,Mar 2014,Sep 2012,29,372,559200000,158200000,0,,DSF0000752887,,P.S. 176 ADDITION,ts,*,717400000,120-45 235 STREET,0101000020E6100000C69637DEB36E52C032B39D86AA574440,12390,413
242,Sep 2015,Queens,,Jun 2013,Nov 2011,29,379,310900000,103400000,0,,DSF0000690225,,P.S. 892,ts,*,414300000,199-10 112TH AVENUE,0101000020E6100000873D4DAA667052C0249B3ADCE8594440,12390,412
243,Sep 2017,Queens,,Jun 2014,Jan 2013,30,654,797100000,241700000,100000,,DSF0000775571,,P.S. 11 ADDITION,ts,*,1038900000,54-25 SKILLMAN AVENUE,0101000020E6100000F2C5E060307A52C0F56C0D7D7D5F4440,12390,402
245,Sep 2016,Queens,,Jun 2014,Jun 2013,30,376,444500000,146800000,0,,DSF0000752430,,P.S. 92 ADDITION,ts,*,591300000,99-01 34TH AVENUE,0101000020E6100000C540FCE1997752C0D4B3A694C9604440,12390,403
247,Aug 2013,Queens,,Feb 2011,May 2008,30,578,609900000,62200000,27200000,,DSF0000622568,,P.S./I.S. 78,ts,*,699300000,46-08 5TH STREET,0101000020E6100000454FA1C7287D52C00072BAE3A45F4440,12390,402
248,Jul 2013,Queens,,Oct 2012,Aug 2011,30,342,175200000,8400000,0,,DSF0000687102,,EAST ELMHURST COMMUNITY SCHOOL,ts,*L,183600000,26-25 97TH STREET,0101000020E61000002EDC371ACE7752C0ECE998657E614440,12390,403
249,Aug 2015,Queens,,Jul 2013,Apr 2012,30,472,595800000,137200000,0,,DSF0000687330,,P.S. 339,ts,*,733000000,39-07 57TH STREET,0101000020E61000009A5D2A6DF77952C029631488B25F4440,12390,402
251,Sep 2013,Staten Island,,Jun 2011,Oct 2009,31,844,808800000,58100000,2500000,,DSF0000417400,,P.S./I.S. 48,ts,*,869400000,1050 TARGEE STREET,0101000020E61000002D373976E28552C04F1EAE962B4D4440,12390,502
252,Sep 2012,Brooklyn,,Jul 2009,Apr 2008,78K,"1,202",914900000,84300000,45300000,,DSF0000622354,,SPRING CREEK EDUCATIONAL CAMPUS,ts,*,1044400000,1065 ELTON STREET,0101000020E6100000AB5E353CF07752C070FD677922544440,12390,305
254,May 2013,Queens,,Nov 2011,May 2010,78Q,402,216600000,11100000,400000,,DSF0000710091,,RICHMOND HILL HS ANNEX ,ts,*L,228100000,,,12390,
253,Aug 2013,Queens,,Jul 2010,Apr 2009,78Q,"1,071",856100000,44000000,1200000,,DSF0000622618,,HUNTERS POINT CAMPUS,ts,*,901300000,1-50 51ST AVENUE,0101000020E6100000227D5C5C667D52C020120BB1115F4440,12390,402
