projectnum,source,street address,borough,zip,latitude,longitude,Source
DSF0000866749,sca_cp_programs_prev,1716 BLEECKER STREET,QUEENS,11385,40.704337,-73.91188,Open Data - Active Projects
DSF0000844032,sca_cp_programs_prev,227 W 27th St,Manhattan,10001,40.747213,-73.994865,Google - Fashion Institute of Technology
DSF0000911250,sca_cp_programs_cur,1106 E 95th St,BROOKLYN,11236,40.643257,-73.903317,Google - DOE District Office
DSF0000844030,sca_cp_programs_prev,227 W 27th St,Manhattan,10001,40.747213,-73.994865,Google - Fashion Institute of Technology
DSF0000822123,sca_cp_programs_prev,44-36 Vernon Boulevard,QUEENS,11101,40.749572,-73.952384,Google - Division of School Facilities office
DSF0000801052,sca_cp_programs_prev,44-36 Vernon Boulevard,QUEENS,11101,40.749572,-73.952384,Google - Division of School Facilities office
DSF0000792074,sca_cp_programs_prev,28-11 QUEENS PLAZA NORTH,Queens,11101,40.750138,-73.93806,Google - Q800
DSF0000783260,sca_cp_programs_prev,1124 EAST  17 STREET,BROOKLYN,11230,40.62285,-73.959046,LCGMS
DSF0000844738,sca_cp_programs_prev,143-10 Springfield Boulevard,QUEENS,11413,40.667684,-73.757444,Google - Take the Field Book
DSF0000868070,sca_cp_programs_prev,227 W 27th St,Manhattan,10001,40.747213,-73.994865,Google - Fashion Institute of Technology
DSF0000843777,sca_cp_programs_prev,227 W 27th St,Manhattan,10001,40.747213,-73.994865,Google - Fashion Institute of Technology
DSF0000799912,sca_cp_programs_prev,44-36 Vernon Boulevard,QUEENS,11101,40.749572,-73.952384,Google - Division of School Facilities office
DSF0000784200,sca_cp_programs_prev,355 Park Pl,BROOKLYN,11238,40.67627,-73.965886,Google - DOE District Office
DSF0000822124,sca_cp_programs_prev,44-36 Vernon Boulevard,QUEENS,11101,40.749572,-73.952384,Google - Division of School Facilities office
DSF0000866748,sca_cp_programs_prev,1000 EAST TREMONT AVENUE,Bronx,10460,40.840737,-73.882254,Open Data - Active Projects
DSF0000868068,sca_cp_programs_prev,1819 BERGEN STREET,BROOKLYN,11233,40.674903,-73.921347,LCGMS
DSF0000800327,sca_cp_programs_prev,2800 OCEAN PARKWAY,BROOKLYN,11235,40.581852,-73.967777,LCGMS
DSF0000843776,sca_cp_programs_prev,227 W 27th St,Manhattan,10001,40.747213,-73.994865,Google - Fashion Institute of Technology
DSF0000844034,sca_cp_programs_prev,227 W 27th St,Manhattan,10001,40.747213,-73.994865,Google - Fashion Institute of Technology
DSF0000820378,sca_cp_programs_prev,701 St. Ann’s Avenue,Bronx,10455,40.81832,-73.911183,Google - Take the Field Book
DSF0000843757,sca_cp_programs_prev,39 INNIS STREET,STATEN ISLAND,10302,40.63383,-74.142239,LCGMS
DSF0000822093,sca_cp_programs_prev,,,,,,
DSF0000842251,sca_cp_programs_prev,1980 Lafayette Avenue,Bronx,10473,40.822153,-73.855874,Google - Take the Field Book
DSF0000843778,sca_cp_programs_prev,227 W 27th St,Manhattan,10001,40.747213,-73.994865,Google - Fashion Institute of Technology
DSF0000783287,sca_cp_programs_prev,2800 OCEAN PARKWAY,BROOKLYN,11235,40.581852,-73.967777,LCGMS
DSF0000799869,sca_cp_programs_prev,44-36 Vernon Boulevard,QUEENS,11101,40.749572,-73.952384,Google - Division of School Facilities office
DSF0000820508,sca_cp_programs_prev,501 Courtlandt Ave,Bronx,10451,40.815432,-73.920205,Google - DOE District Office
DSF0000888829,sca_cp_programs_prev,65 Court Street,Brooklyn,11201,40.691781,-73.991196,Google - 65 Court
DSF0000807062,sca_cp_programs_prev,6565 FLATLANDS AVENUE,BROOKLYN,11236,40.633252,-73.917132,LCGMS
DSF0000798645,sca_cp_programs_prev,180 BEACH 35 STREET,QUEENS,11691,40.594737,-73.767139,Google - 2015-16 Blue Book
DSF0000843780,sca_cp_programs_prev,227 W 27th St,Manhattan,10001,40.747213,-73.994865,Google - Fashion Institute of Technology
DSF0000769303,sca_cp_programs_prev,44-36 Vernon Boulevard,QUEENS,11101,40.749572,-73.952384,Google - Division of School Facilities office
