projectnum,source,street address,borough,zip,latitude,longitude,Source
DSF0000860467,sca_cp_programs_prev,105 HAMILTON AVENUE,STATEN ISLAND,10301,40.646002,-74.082823,LCGMS
DSF0000769311,sca_cp_programs_prev,44-36 Vernon Boulevard,QUEENS,11101,40.749572,-73.952384,Google - Division of School Facilities office
DSF0000866085,sca_cp_programs_prev,708 MAPLE STREET,BROOKLYN,11203,40.661521,-73.937261,LCGMS
DSF0000799405,sca_cp_programs_prev,2800 OCEAN PARKWAY,BROOKLYN,11235,40.581852,-73.967777,LCGMS
DSF0000844031,sca_cp_programs_prev,227 W 27th St,Manhattan,10001,40.747213,-73.994865,Google - Fashion Institute of Technology
DSF0000821659,sca_cp_programs_cur,639 ST ANNS AVENUE,Bronx,10455,40.817199,-73.91169,Open Data - TCUs
DSF0000866165,sca_cp_programs_prev,227 W 27th St,Manhattan,10001,40.747213,-73.994865,Google - Fashion Institute of Technology
DSF0000799842,sca_cp_programs_prev,56-13 FLATLANDS AVE ,Brooklyn,11234,40.651864,-73.889177,Google - DOE DSF 2017 lease report for Council
DSF0000843758,sca_cp_programs_prev,99 Terrace View Avenue,Bronx,10463,40.87726,-73.912578,Google - Take the Field Book
DSF0000801024,sca_cp_programs_prev,465 NEW DORP LANE,STATEN ISLAND,10306,40.569578,-74.107377,LCGMS
DSF0000867176,sca_cp_programs_prev,65 Court Street,Brooklyn,11201,40.691781,-73.991196,Google - 65 Court
DSF0000769305,sca_cp_programs_prev,44-36 Vernon Boulevard,QUEENS,11101,40.749572,-73.952384,Google - Division of School Facilities office
DSF0000843779,sca_cp_programs_prev,227 W 27th St,Manhattan,10001,40.747213,-73.994865,Google - Fashion Institute of Technology
DSF0000769098,sca_cp_programs_prev,18-08 WILLOUGHBY AVENUE,QUEENS,11385,40.707825,-73.919091,LCGMS
DSF0000851530,sca_cp_programs_prev,65 Court Street,Brooklyn,11201,40.691781,-73.991196,Google - 65 Court
DSF0000777531,sca_cp_programs_prev,28-11 QUEENS PLAZA NORTH,Queens,11101,40.750138,-73.93806,Google - Q800
DSF0000889569,sca_cp_programs_cur,50 Antin Pl,Bronx,10462,40.850669,-73.865817,Google - school name
DSF0000798423,sca_cp_programs_prev,131 Livingston St,Brooklyn,11201,40.690854,-73.988521,Google - 131 Livingston
DSF0000865862,sca_cp_programs_prev,911 Flatbush Avenue,Brooklyn,11226,40.649504,-73.958257,Google - Erasmus Hall HS
DSF0000844035,sca_cp_programs_prev,227 W 27th St,Manhattan,10001,40.747213,-73.994865,Google - Fashion Institute of Technology
DSF0000843775,sca_cp_programs_prev,227 W 27th St,Manhattan,10001,40.747213,-73.994865,Google - Fashion Institute of Technology
DSF0000769320,sca_cp_programs_prev,44-36 Vernon Boulevard,QUEENS,11101,40.749572,-73.952384,Google - Division of School Facilities office
DSF0000799740,sca_cp_programs_prev,56-13 FLATLANDS AVE ,Brooklyn,11234,40.651864,-73.889177,Google - DOE DSF 2017 lease report for Council
DSF0000866743,sca_cp_programs_prev,559 Cypress Ave,QUEENS,11385,40.703782,-73.912088,Google - school name
DSF0000865936,sca_cp_programs_prev,1231 LAFAYETTE AVENUE,Bronx,10474,40.816586,-73.890832,Blue Book
DSF0000844106,sca_cp_programs_prev,6565 FLATLANDS AVENUE,BROOKLYN,11236,40.633252,-73.917132,LCGMS
DSF0000874197,sca_cp_programs_prev,65 Court Street,Brooklyn,11201,40.691781,-73.991196,Google - 65 Court
DSF0000843923,sca_cp_programs_prev,227 W 27th St,Manhattan,10001,40.747213,-73.994865,Google - Fashion Institute of Technology
DSF0000866746,sca_cp_programs_prev,,,,,,
DSF0000866744,sca_cp_programs_prev,101 Maujer St,Brooklyn,11211,40.71072,-73.946899,Google - school name
DSF0000821659,sca_cp_programs_prev,639 ST ANNS AVENUE,Bronx,10455,40.817199,-73.91169,Open Data - TCUs
DSF0000844033,sca_cp_programs_prev,227 W 27th St,Manhattan,10001,40.747213,-73.994865,Google - Fashion Institute of Technology
DSF0000797347,sca_cp_programs_prev,501 Courtlandt Ave,Bronx,10451,40.815432,-73.920205,Google - DOE District Office
DSF0000799766,sca_cp_programs_prev,335 ADAMS ST ,BROOKLYN,11201,40.693507,-73.988425,Google - DOE DSF 2017 lease report for Council
DSF0000799404,sca_cp_programs_prev,2800 OCEAN PARKWAY,BROOKLYN,11235,40.581852,-73.967777,LCGMS
DSF0000851136,sca_cp_programs_prev,3000 Avenue X,Brooklyn,11235,40.594005,-73.937395,Google - Take the Field Book
DSF0000783461,sca_cp_programs_prev,1601 80 STREET,BROOKLYN,11214,40.613231,-74.003133,LCGMS
DSF0000791517,sca_cp_programs_prev,143-10 Springfield Boulevard,QUEENS,11413,40.667684,-73.757444,Google - Take the Field Book
DSF0000844121,sca_cp_programs_prev,3030 Thomson Ave,Queens,11101,40.744866,-73.935935,Google - SCA HQ
DSF0000889558,sca_cp_programs_cur,1025 Eastern Pkwy,Brooklyn,11213,40.669357,-73.934317,Google - school name
DSF0000866747,sca_cp_programs_prev,,,,,,
DSF0000754249,sca_cp_programs_prev,80-51 261st St,QUEENS,11004,40.743854,-73.709587,Google - Mapped to P.S. 115 Glen Oaks
DSF0000843700,sca_cp_programs_prev,100-00 Beach Channel Drive,QUEENS,11694,40.575842,-73.862738,Google - Take the Field Book
DSF0000844041,sca_cp_programs_prev,3030 Thomson Ave,Queens,11101,40.744866,-73.935935,Google - SCA HQ
DSF0000799406,sca_cp_programs_prev,2800 OCEAN PARKWAY,BROOKLYN,11235,40.581852,-73.967777,LCGMS
DSF0000866304,sca_cp_programs_prev,830 Mace Ave,Bronx,10467,40.862963,-73.86194,Google - school name
DSF0000822125,sca_cp_programs_prev,44-36 Vernon Boulevard,QUEENS,11101,40.749572,-73.952384,Google - Division of School Facilities office
DSF0000799911,sca_cp_programs_prev,44-36 Vernon Boulevard,QUEENS,11101,40.749572,-73.952384,Google - Division of School Facilities office
DSF0000866750,sca_cp_programs_prev,,,,,,
DSF0000866164,sca_cp_programs_prev,227 W 27th St,Manhattan,10001,40.747213,-73.994865,Google - Fashion Institute of Technology
DSF0000784115,sca_cp_programs_prev,65 Court Street,Brooklyn,11201,40.691781,-73.991196,Google - 65 Court
DSF0000851535,sca_cp_programs_prev,65 Court Street,Brooklyn,11201,40.691781,-73.991196,Google - 65 Court
DSF0000755235,sca_cp_programs_prev,1124 EAST  17 STREET,BROOKLYN,11230,40.62285,-73.959046,LCGMS
DSF0000769310,sca_cp_programs_prev,44-36 Vernon Boulevard,QUEENS,11101,40.749572,-73.952384,Google - Division of School Facilities office
DSF0000866856,sca_cp_programs_prev,355 Park Pl,BROOKLYN,11238,40.67627,-73.965886,Google - DOE District Office
