projectnum,source,street address,borough,zip,latitude,longitude,Source
DSF0000911845,sca_cp_cap_schools_cur,,,,,,
DSF0000911849,sca_cp_cap_schools_cur,,,,,,
DSF0000798567,sca_cp_cap_schools_cur,,,,,,
DSF0000798213,sca_cp_cap_schools_cur,,,,,,
DSF0000911837,sca_cp_cap_schools_cur,,,,,,
DSF0000911838,sca_cp_cap_schools_cur,,,,,,
DSF0000798192,sca_cp_cap_schools_prev,2360 BENSON AVENUE,Bronx,11214,40.59715,-73.991909,Link for location; Google for coordinates
DSF0000798189,sca_cp_cap_schools_prev,922 78th Street,Brooklyn,11228,40.623697,-74.018239,Link for location; Google for coordinates
DSF0000821576,sca_cp_cap_schools_prev,69-10 65TH DRIVE,Queens,11379,40.715067,-73.885652,Link for location; Google for coordinates
DSF0000843833,sca_cp_cap_schools_prev,128-02 7TH AVENUE,Queens,11356,40.790107,-73.839334,OpenData
DSF0000889041,sca_cp_cap_schools_cur,457 TOMKINS AVENUE,Staten Island,10305,40.61459177,-74.07216311,MQL
DSF0000798233,sca_cp_cap_schools_prev,3047 BRUCKNER BLVD,Bronx,10461,40.835729,-73.825869,Link for location; Google for coordinates
DSF0000798195,sca_cp_cap_schools_prev,34-74 113 STREET,Queens,11368,40.755432,-73.855666,Link for location; Google for coordinates
DSF0000798209,sca_cp_cap_schools_prev,93-02 69 AVENUE,Queens,11375,40.714636,-73.852346,Link for location; Google for coordinates
DSF0000798568,sca_cp_cap_schools_prev,98-02 ROOSEVELT AVENUE,Queens,11368,40.74896,-73.866643,Link for location; Google for coordinates
DSF0000843834,sca_cp_cap_schools_prev,71-25 113 STREET,Queens,11375,40.72238,-73.837525,Google for coordinates
DSF0000798568,sca_cp_rep_schools,98-02 ROOSEVELT AVENUE,Queens,11368,40.74896,-73.866643,Link for location; Google for coordinates
DSF0000888778,sca_cp_rep_schools,75-10 21 AVENUE,Queens,11370,40.769864,-73.894323,Google for coordinates
DSF0000888762,sca_cp_cap_schools_prev,61-21 97TH PLACE,Queens,11374,40.733589,-73.860869,Google for coordinates
DSF0000798203,sca_cp_rep_schools,45-57 Union St,Queens,11355,40.752038,-73.818167,Link for location; Google for coordinates
DSF0000798203,sca_cp_cap_schools_prev,45-57 Union St,Queens,11355,40.752038,-73.818167,Link for location; Google for coordinates
DSF0000798194,sca_cp_cap_schools_prev,1801 AVENUE Y,Brooklyn,11235,40.591033,-73.951385,Google for coordinates
DSF0000798208,sca_cp_cap_schools_prev,108-55 69TH AVENUE,Queens,11375,40.72583,-73.844341,Link for location; Google for coordinates
DSF0000775874,sca_cp_rep_schools,2865 CLAFLIN AVENUE,Bronx,10468,40.873633,-73.899923,Google for coordinates
DSF0000798185,sca_cp_cap_schools_prev,420 Union Street,Brooklyn,11231,40.680239,-73.990753,Link for location; Google for coordinates
DSF0000798176,sca_cp_cap_schools_prev,25 WEST 195 STREET,Brooklyn,10468,40.86935,-73.897152,LCGMS
DSF0000798175,sca_cp_cap_schools_prev,2760 Briggs Avenue,Bronx,10458,40.867355,-73.890502,Link for location; Google for coordinates
DSF0000798170,sca_cp_cap_schools_cur,639 St. Ann's Ave,Bronx,10455,40.817003,-73.91207,MQL
DSF0000798200,sca_cp_cap_schools_prev,63-60 80TH STREET,Queens,11379,40.719834,-73.875912,Link for location; Google for coordinates
DSF0000801039,sca_cp_cap_schools_prev,85-11 102nd St,Queens,11418,40.698137,-73.846293,Link for location; Google for coordinates
DSF0000798193,sca_cp_cap_schools_prev,1855 Stillwell Avenue,Brooklyn,11223,40.600596,-73.985687,Link for location; Google for coordinates
DSF0000798178,sca_cp_cap_schools_prev,1375 Mace Ave, Bronx,10469,40.863438,-73.846574,Link for location; Google for coordinates
DSF0000889040,sca_cp_cap_schools_cur,1302 EDWARD L GRANT HIGHWAY,Bronx,10452,40.83851375,-73.92151952,SCA site selection for Jerome Ave school
DSF0000798236,sca_cp_cap_schools_cur,2 HUDSON SQUARE,,,40.7227054927186,-74.0058374404907,Google
DSF0000424314,sca_cp_cap_schools_cur,West 30th Street between 11th and 12th Avenue,,,40.7539542,-74.00450706,Hudson Yards Master Plan
DSF0000843984,sca_cp_cap_schools_prev,2ND STREET BETWEEN 56TH AVENUE AND 57TH AVENUE,,,40.73897389,-73.96199942,Hunters Point South plan
DSF0000889308,sca_cp_cap_schools_cur,639 ST. ANN'S AVENUE,Bronx,10455,40.816532,-73.911747,Google
DSF0000800056,sca_cp_rep_schools,1211 SOUTHERN BLVD,Bronx,10459,40.8295438970712,-73.8922190666198,Blue Book
DSF0000821675,sca_cp_prek_schools_prev,25 Dock Street,Brooklyn,11201,40.7030455934129,-73.9923620223999,Google
DSF0000800279,sca_cp_rep_schools,227 WEST 61st STREET,Manhattan,10023,40.7724737541362,-73.9881134033203,Blue Book
