projectnum,source,street address,borough,zip,latitude,longitude,Source
DSF0000911939,sca_cp_3k_schools,,,,,,
DSF0000911938,sca_cp_3k_schools,,,,,,
DSF0000891030,sca_cp_3k_schools,365 Bay Street,Staten Island,10301,40.633347,-74.07472,SCA
DSF0000890617,sca_cp_3k_schools,,,,,,
DSF0000889341,sca_cp_3k_schools,2040 Forest Avenue,Staten Island,10303,40.624832,-74.156934,SCA
DSF0000911940,sca_cp_3k_schools,,,,,,
DSF0000891035,sca_cp_3k_schools,,,,,,
DSF0000891031,sca_cp_3k_schools,,,,,,
DSF0000888760,sca_cp_cap_schools_prev,57-00 223rd St,Queens,11364,40.752963,-73.757155,Link for location; Google for coordinates
DSF0000798232,sca_cp_cap_schools_prev,105 Hamilton Avenue,Staten Island,10301,40.646133,-74.082921,
DSF0000844038,sca_cp_class_size_reduction,145 Pennsylvania Avenue,Brooklyn,11207,40.673835,-73.896021,LCGMS
DSF0000798199,sca_cp_cap_schools_prev,46-02 47 AVENUE,Queens,11377,40.740162,-73.918577,
DSF0000843826,sca_cp_cap_schools_cur,21-31 Delevan Street,Brooklyn,11231,40.678765,-74.007284,
DSF0000843827,sca_cp_cap_schools_cur,44-59 45 Avenue,Queens,11101,40.749023,-73.953554,Project name
DSF0000798226,sca_cp_cap_schools_prev,124-06 14th Avenue,Queens,11356,40.785223,-73.843432,News source with address
DSF0000844699,sca_cp_prek_schools_cur,47-01 111th Street,Queens,11368,40.747046,-73.85226,
DSF0000844699,sca_cp_prek_schools_prev,47-01 111th Street,Queens,11368,40.747046,-73.85226,
DSF0000800267,sca_cp_prek_schools_prev,120 STUYVESANT PLACE,Staten Island,10301,40.643306,-74.077297,LCGMS
DSF0000800123,sca_cp_prek_schools_prev,1258 65th Street,Brooklyn,11219,40.626282,-74.002407,LCGMS
DSF0000867184,sca_cp_prek_schools_prev,1683 3rd Avenue,Manhattan,10128,40.783997,-73.950052,LCGMS
DSF0000800052,sca_cp_prek_schools_prev,2-26 Washington Street,Manhattan,10004,40.705724,-74.015464,LCGMS
DSF0000866268,sca_cp_prek_schools_prev,252 East 57th Street,Manhattan,10002,40.759314,-73.965715,LCGMS
DSF0000821832,sca_cp_prek_schools_prev,305-307 3rd Avenue,Brooklyn,11215,40.676498,-73.986624,LCGMS
DSF0000844691,sca_cp_prek_schools_prev,54-25 101st Street,Queens,11368,40.739593,-73.858955,LCGMS
DSF0000866170,sca_cp_prek_schools_cur,6309 4th Avenue,Brooklyn,11220,40.639006,-74.020108,Link
DSF0000801086,sca_cp_prek_schools_prev,83-30 Kew Gardens Road,Queens,11415,40.709749,-73.827213,LCGMS
DSF0000866312,sca_cp_prek_schools_prev,104-04 Corona Avenue,Queens,11368,40.743884,-73.858436,LCGMS
DSF0000865846,sca_cp_prek_schools_prev,606 West 57th Street,Manhattan,10019,40.770608,-73.992497,Link
DSF0000911831,sca_cp_cap_schools_cur,,,,,,
DSF0000911856,sca_cp_cap_schools_cur,,,,,,
DSF0000911815,sca_cp_cap_schools_cur,,,,,,
DSF0000888931,sca_cp_cap_schools_cur,,,,,,
DSF0000798187,sca_cp_cap_schools_cur,,,,,,
DSF0000843831,sca_cp_cap_schools_cur,,,,,,
DSF0000911857,sca_cp_cap_schools_cur,,,,,,
DSF0000798238,sca_cp_cap_schools_cur,,,,,,
DSF0000911814,sca_cp_cap_schools_cur,,,,,,
DSF0000911840,sca_cp_cap_schools_cur,,,,,,
DSF0000843830,sca_cp_cap_schools_cur,,,,,,
DSF0000866091,sca_cp_cap_schools_cur,,,,,,
DSF0000911855,sca_cp_cap_schools_cur,,,,,,
DSF0000911866,sca_cp_cap_schools_cur,,,,,,
DSF0000798172,sca_cp_cap_schools_cur,,,,,,
DSF0000911836,sca_cp_cap_schools_cur,,,,,,
DSF0000843824,sca_cp_cap_schools_cur,,,,,,
DSF0000911847,sca_cp_cap_schools_cur,,,,,,
DSF0000798173,sca_cp_cap_schools_cur,,,,,,
DSF0000687094,sca_cp_cap_schools_cur,,,,,,
DSF0000911867,sca_cp_cap_schools_cur,,,,,,
DSF0000911869,sca_cp_cap_schools_cur,,,,,,
DSF0000888955,sca_cp_cap_schools_prev,,,,,,
DSF0000911863,sca_cp_cap_schools_cur,,,,,,
DSF0000911853,sca_cp_cap_schools_cur,,,,,,
DSF0000911846,sca_cp_cap_schools_cur,,,,,,
DSF0000911834,sca_cp_cap_schools_cur,,,,,,
DSF0000889664,sca_cp_cap_schools_cur,,,,,,
DSF0000911799,sca_cp_cap_schools_cur,,,,,,
DSF0000889651,sca_cp_cap_schools_cur,,,,,,
DSF0000911858,sca_cp_cap_schools_cur,,,,,,
DSF0000798174,sca_cp_cap_schools_cur,,,,,,
DSF0000798206,sca_cp_cap_schools_cur,,,,,,
DSF0000798240,sca_cp_cap_schools_cur,,,,,,
DSF0000911850,sca_cp_cap_schools_cur,,,,,,
DSF0000911864,sca_cp_cap_schools_cur,,,,,,
DSF0000911841,sca_cp_cap_schools_cur,,,,,,
DSF0000798211,sca_cp_cap_schools_cur,,,,,,
DSF0000798188,sca_cp_cap_schools_cur,,,,,,
DSF0000911832,sca_cp_cap_schools_cur,,,,,,
DSF0000911860,sca_cp_cap_schools_cur,,,,,,
DSF0000890667,sca_cp_cap_schools_cur,,,,,,
DSF0000889663,sca_cp_cap_schools_cur,,,,,,
DSF0000889273,sca_cp_cap_schools_cur,,,,,,
DSF0000911835,sca_cp_cap_schools_cur,,,,,,
DSF0000911842,sca_cp_cap_schools_cur,,,,,,
DSF0000911862,sca_cp_cap_schools_cur,,,,,,
DSF0000843661,sca_cp_cap_schools_prev,,,,,,
DSF0000798212,sca_cp_cap_schools_cur,,,,,,
DSF0000867118,sca_cp_cap_schools_cur,,,,,,
DSF0000911848,sca_cp_cap_schools_cur,,,,,,
DSF0000889274,sca_cp_cap_schools_cur,,,,,,
DSF0000843829,sca_cp_cap_schools_cur,,,,,,
DSF0000911861,sca_cp_cap_schools_cur,,,,,,
DSF0000798191,sca_cp_cap_schools_cur,,,,,,
DSF0000889275,sca_cp_cap_schools_cur,,,,,,
DSF0000911844,sca_cp_cap_schools_cur,,,,,,
DSF0000889670,sca_cp_cap_schools_cur,,,,,,
DSF0000911830,sca_cp_cap_schools_cur,,,,,,
DSF0000911859,sca_cp_cap_schools_cur,,,,,,
DSF0000889060,sca_cp_cap_schools_cur,,,,,,
DSF0000911839,sca_cp_cap_schools_cur,,,,,,
DSF0000911852,sca_cp_cap_schools_cur,,,,,,
DSF0000911868,sca_cp_cap_schools_cur,,,,,,
DSF0000911843,sca_cp_cap_schools_cur,,,,,,
DSF0000798190,sca_cp_cap_schools_cur,,,,,,
DSF0000866306,sca_cp_cap_schools_prev,,,,,,
DSF0000845622,sca_cp_cap_schools_cur,,,,,,
DSF0000911854,sca_cp_cap_schools_cur,,,,,,
